centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
14469755,House for sale,439000,1989,0,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/14469755?view=Summary
15960548,House for sale,2399000,1877,10,0,montreal-lachine,montreal,7,4,https://www.centris.ca/en/houses~for-sale~montreal-lachine/15960548?view=Summary
15267078,House for sale,619000,1920,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/15267078?view=Summary
18732546,House for sale,499000,1952,5,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18732546?view=Summary
17800043,House for sale,915000,1965,8,0,montreal-lachine,montreal,5,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/17800043?view=Summary
10192030,House for sale,589000,1987,3,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/10192030?view=Summary
10774615,House for sale,779000,1860,1,0,montreal-lachine,montreal,6,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/10774615?view=Summary
9533282,House for sale,639000,1967,5,0,montreal-lachine,montreal,6,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/9533282?view=Summary
22157729,Condominium house for sale,568000,2005,2,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lachine/22157729?view=Summary
20458060,House for sale,479000,1950,5,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/20458060?view=Summary
28399076,House for sale,714000,1951,5,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/28399076?view=Summary
12222395,Condominium house for sale,429000,1993,0,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lachine/12222395?view=Summary
27728886,House for sale,269900,1939,2,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/27728886?view=Summary
24236197,House for sale,689000,1943,5,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/24236197?view=Summary
18361827,House for sale,610000,1947,0,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18361827?view=Summary
19192782,House for sale,539000,1945,0,0,montreal-lachine,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/19192782?view=Summary
17667081,House for sale,1225000,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/17667081?view=Summary
18657075,House for sale,589000,1936,3,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/18657075?view=Summary
12091977,House for sale,599000,2020,4,0,montreal-lachine,montreal,5,2,https://www.centris.ca/en/houses~for-sale~montreal-lachine/12091977?view=Summary
14305700,House for sale,299000,1911,1,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/14305700?view=Summary
13228432,House for sale,749000,1950,5,0,montreal-lachine,montreal,4,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/13228432?view=Summary
9150169,House for sale,399000,Unknown age,4,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/9150169?view=Summary
10256479,House for sale,568000,2005,2,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/10256479?view=Summary
20981913,House for sale,890000,1962,6,0,montreal-lachine,montreal,4,3,https://www.centris.ca/en/houses~for-sale~montreal-lachine/20981913?view=Summary
28484185,House for sale,439000,2002,2,0,montreal-lachine,montreal,3,1,https://www.centris.ca/en/houses~for-sale~montreal-lachine/28484185?view=Summary
