centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
15380048,House for sale,387000,1928,1,0,montreal-lasalle,montreal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-lasalle/15380048?view=Summary
