centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
19696824,Condo for sale,304320,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/19696824?view=Summary
15673843,Condo for sale,457970,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/15673843?view=Summary
21594629,Condo for sale,384335,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/21594629?view=Summary
24481012,Condo for sale,723150,2020,0,0,beaconsfield,montreal,3,3,https://www.centris.ca/en/condos~for-sale~beaconsfield/24481012?view=Summary
25786428,Condo for sale,250030,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/25786428?view=Summary
25788467,Condo for sale,649000,2019,0,1,beaconsfield,montreal,3,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/25788467?view=Summary
16769834,Condo for sale,490140,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/16769834?view=Summary
27485987,Condo for sale,279000,1978,0,96,beaconsfield,montreal,3,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/27485987?view=Summary
16781180,Condo for sale,261480,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/16781180?view=Summary
9382943,Condo for sale,247685,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/9382943?view=Summary
12931496,Condo for sale,460965,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/12931496?view=Summary
27707878,Condo for sale,366240,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/27707878?view=Summary
27625065,Condo for sale,432525,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/27625065?view=Summary
14998609,Condo for sale,263160,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/14998609?view=Summary
20897226,Condo for sale,256180,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/20897226?view=Summary
27759145,Condo for sale,357520,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/27759145?view=Summary
20001941,Condo for sale,558000,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/20001941?view=Summary
22196114,Condo for sale,249000,1978,0,785,beaconsfield,montreal,2,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/22196114?view=Summary
20847212,Condo for sale,195000,1978,0,619,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/20847212?view=Summary
25999151,Condo for sale,377900,2020,0,1,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/25999151?view=Summary
24555716,Condo for sale,595350,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/24555716?view=Summary
17230210,Condo for sale,440030,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/17230210?view=Summary
20107275,Condo for sale,407700,2020,0,0,beaconsfield,montreal,2,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/20107275?view=Summary
16424466,Condo for sale,460965,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/16424466?view=Summary
24493000,Condominium house for sale,339000,1972,2,0,beaconsfield,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~beaconsfield/24493000?view=Summary
14172381,Condo for sale,478470,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/14172381?view=Summary
22649508,Condo for sale,402210,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/22649508?view=Summary
22035901,Condo for sale,469140,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/22035901?view=Summary
12473249,Condo for sale,412020,2020,0,0,beaconsfield,montreal,2,2,https://www.centris.ca/en/condos~for-sale~beaconsfield/12473249?view=Summary
19401193,Condo for sale,296360,2020,0,0,beaconsfield,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~beaconsfield/19401193?view=Summary
