centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
24158180,Condo for sale,505543,2020,0,0,dorval,montreal,3,2,https://www.centris.ca/en/condos~for-sale~dorval/24158180?view=Summary
24684921,Condo for sale,329000,2013,0,787,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/24684921?view=Summary
12488601,Condo for sale,350000,2013,0,907,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/12488601?view=Summary
25757621,Condo for sale,364000,2011,0,1,dorval,montreal,2,1,https://www.centris.ca/en/condos~for-sale~dorval/25757621?view=Summary
26353961,Condo for sale,489000,2010,0,1,dorval,montreal,4,2,https://www.centris.ca/en/condos~for-sale~dorval/26353961?view=Summary
13780579,Condo for sale,349900,2010,0,907,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/13780579?view=Summary
22045547,Condominium house for sale,625000,2011,0,0,dorval,montreal,4,1,https://www.centris.ca/en/condominium-houses~for-sale~dorval/22045547?view=Summary
19896709,Condo for sale,363580,2020,0,0,dorval,montreal,2,1,https://www.centris.ca/en/condos~for-sale~dorval/19896709?view=Summary
12884213,Condo for sale,610000,2010,0,1,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/12884213?view=Summary
14195048,Condo for sale,424163,2020,0,0,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/14195048?view=Summary
13652569,Condo for sale,839000,1990,0,1,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/13652569?view=Summary
14393226,Condo for sale,419000,2013,0,1,dorval,montreal,2,1,https://www.centris.ca/en/condos~for-sale~dorval/14393226?view=Summary
24043273,Condo for sale,429000,2015,0,1,dorval,montreal,3,2,https://www.centris.ca/en/condos~for-sale~dorval/24043273?view=Summary
17915739,Condo for sale,428000,2013,0,1,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/17915739?view=Summary
17695431,Condo for sale,499000,2017,0,1,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/17695431?view=Summary
20068963,Condo for sale,229000,2010,0,0,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/20068963?view=Summary
13056328,Condo for sale,300000,2013,0,759,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/13056328?view=Summary
25513871,Condo for sale,244900,2011,0,680,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/25513871?view=Summary
22060304,Condo for sale,433000,2012,0,1,dorval,montreal,3,2,https://www.centris.ca/en/condos~for-sale~dorval/22060304?view=Summary
16313702,Condo for sale,429000,2013,0,905,dorval,montreal,2,1,https://www.centris.ca/en/condos~for-sale~dorval/16313702?view=Summary
23046049,Condo for sale,420000,2010,0,902,dorval,montreal,2,2,https://www.centris.ca/en/condos~for-sale~dorval/23046049?view=Summary
15330825,Condo for sale,243000,2013,0,574,dorval,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~dorval/15330825?view=Summary
12284304,Condo for sale,859000,1999,0,1,dorval,montreal,3,2,https://www.centris.ca/en/condos~for-sale~dorval/12284304?view=Summary
22157002,Condo for sale,329000,2014,0,893,dorval,montreal,2,1,https://www.centris.ca/en/condos~for-sale~dorval/22157002?view=Summary
