centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
22530484,Condo for sale,337000,1986,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/22530484?view=Summary
27309914,Condo for sale,468798,2020,0,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/27309914?view=Summary
24246324,Condo for sale,299000,1993,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/24246324?view=Summary
26248365,Condo for sale,560000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/26248365?view=Summary
17968819,Condo for sale,450000,2002,0,973,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/17968819?view=Summary
9208609,Condo for sale,379900,2011,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/9208609?view=Summary
14482529,Condo for sale,349900,2006,0,946,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14482529?view=Summary
13676113,Condo for sale,283000,2012,0,561,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/13676113?view=Summary
22157607,Condo for sale,1089999,2012,0,0,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/22157607?view=Summary
11014446,Condominium house for sale,654900,2020,0,0,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~montreal-lasalle/11014446?view=Summary
20595561,Condo for sale,498384,2020,0,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/20595561?view=Summary
27180833,Condo for sale,229000,1999,0,739,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/27180833?view=Summary
20289320,Condo for sale,479000,2008,0,1,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/20289320?view=Summary
12404091,Condo for sale,415000,2015,0,767,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/12404091?view=Summary
18557291,Condo for sale,295000,2020,0,406,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/18557291?view=Summary
25917128,Condo for sale,398000,2002,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/25917128?view=Summary
16292439,Condo for sale,399900,Unknown age,0,840,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/16292439?view=Summary
21793021,Condo for sale,446000,2012,0,870,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/21793021?view=Summary
10997424,Condo for sale,545000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/10997424?view=Summary
24225196,Condo for sale,419000,2012,0,773,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/24225196?view=Summary
14512642,Condo for sale,227000,1998,0,655,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14512642?view=Summary
