centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
28604612,House for sale,300000,1983,7,0,chateauguay,montreal,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/28604612?view=Summary
15909212,Condominium house for sale,269000,1989,1,0,chateauguay,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~chateauguay/15909212?view=Summary
25980599,House for sale,429900,1955,8,0,chateauguay,montreal,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/25980599?view=Summary
20772892,House for sale,425000,2010,6,0,chateauguay,montreal,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/20772892?view=Summary
19235827,House for sale,360000,2008,4,0,chateauguay,montreal,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/19235827?view=Summary
22090924,House for sale,679000,2011,0,0,chateauguay,montreal,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/22090924?view=Summary
25228506,House for sale,439000,2014,6,0,chateauguay,montreal,5,2,https://www.centris.ca/en/houses~for-sale~chateauguay/25228506?view=Summary
24058524,House for sale,289000,1966,5,0,chateauguay,montreal,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/24058524?view=Summary
10124255,House for sale,269000,1989,1,0,chateauguay,montreal,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/10124255?view=Summary
11940557,House for sale,299000,1966,0,0,chateauguay,montreal,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/11940557?view=Summary
26801211,House for sale,558000,2017,5,0,chateauguay,montreal,3,3,https://www.centris.ca/en/houses~for-sale~chateauguay/26801211?view=Summary
10864820,House for sale,243900,1959,5,0,chateauguay,montreal,5,1,https://www.centris.ca/en/houses~for-sale~chateauguay/10864820?view=Summary
21849489,House for sale,230000,1961,5,0,chateauguay,montreal,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/21849489?view=Summary
14384332,House for sale,254000,1962,6,0,chateauguay,montreal,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/14384332?view=Summary
12357621,House for sale,324000,1966,8,0,chateauguay,montreal,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/12357621?view=Summary
24913583,House for sale,299000,1962,5,0,chateauguay,montreal,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/24913583?view=Summary
