centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
16678222,House for sale,599900,2015,3,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/16678222?view=Summary
27207253,House for sale,1890000,2000,8,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/27207253?view=Summary
26664313,House for sale,798000,1955,6,0,dorval,montreal,5,2,https://www.centris.ca/en/houses~for-sale~dorval/26664313?view=Summary
11687340,House for sale,1098000,1999,6,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/11687340?view=Summary
26768043,House for sale,365000,1951,5,0,dorval,montreal,4,1,https://www.centris.ca/en/houses~for-sale~dorval/26768043?view=Summary
15130487,House for sale,799000,1951,6,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/15130487?view=Summary
21333413,House for sale,479000,1953,5,0,dorval,montreal,3,1,https://www.centris.ca/en/houses~for-sale~dorval/21333413?view=Summary
14839310,House for sale,550000,1992,4,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/14839310?view=Summary
22045547,Condominium house for sale,625000,2011,0,0,dorval,montreal,4,1,https://www.centris.ca/en/condominium-houses~for-sale~dorval/22045547?view=Summary
25223241,House for sale,1890000,1917,15,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/25223241?view=Summary
27675312,House for sale,1395000,1950,10,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/27675312?view=Summary
17428135,House for sale,465000,1951,1,0,dorval,montreal,4,1,https://www.centris.ca/en/houses~for-sale~dorval/17428135?view=Summary
10735860,House for sale,1289000,1980,10,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/10735860?view=Summary
9192227,House for sale,7896000,1990,25,0,dorval,montreal,6,5,https://www.centris.ca/en/houses~for-sale~dorval/9192227?view=Summary
25292445,House for sale,714000,1953,6,0,dorval,montreal,4,2,https://www.centris.ca/en/houses~for-sale~dorval/25292445?view=Summary
24887182,House for sale,3390303,2020,10,0,dorval,montreal,4,5,https://www.centris.ca/en/houses~for-sale~dorval/24887182?view=Summary
14571005,House for sale,1040015,2020,6,0,dorval,montreal,4,2,https://www.centris.ca/en/houses~for-sale~dorval/14571005?view=Summary
19764795,House for sale,559000,1953,6,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/19764795?view=Summary
15937403,House for sale,1348800,2014,6,0,dorval,montreal,6,4,https://www.centris.ca/en/houses~for-sale~dorval/15937403?view=Summary
18386198,House for sale,465000,1951,4,0,dorval,montreal,6,3,https://www.centris.ca/en/houses~for-sale~dorval/18386198?view=Summary
21264481,House for sale,1332000,1985,12,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/21264481?view=Summary
22341405,House for sale,849900,1996,4,0,dorval,montreal,5,4,https://www.centris.ca/en/houses~for-sale~dorval/22341405?view=Summary
25245399,House for sale,2350000,1904,25,0,dorval,montreal,6,4,https://www.centris.ca/en/houses~for-sale~dorval/25245399?view=Summary
9690490,House for sale,1495000,1994,8,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/9690490?view=Summary
24937871,House for sale,599000,1953,5,0,dorval,montreal,6,3,https://www.centris.ca/en/houses~for-sale~dorval/24937871?view=Summary
21295433,House for sale,399999,1955,5,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/21295433?view=Summary
26757304,House for sale,1048000,1953,6,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/26757304?view=Summary
11536428,House for sale,625000,2011,0,0,dorval,montreal,4,1,https://www.centris.ca/en/houses~for-sale~dorval/11536428?view=Summary
18229817,House for sale,450000,1955,0,0,dorval,montreal,4,2,https://www.centris.ca/en/houses~for-sale~dorval/18229817?view=Summary
11473745,House for sale,699000,2014,3,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/11473745?view=Summary
13620879,House for sale,1235000,1998,6,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/13620879?view=Summary
12317918,House for sale,799000,2005,6,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/12317918?view=Summary
18078327,House for sale,539000,1953,5,0,dorval,montreal,4,2,https://www.centris.ca/en/houses~for-sale~dorval/18078327?view=Summary
10909620,House for sale,1265000,Unknown age,11,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/10909620?view=Summary
20840428,House for sale,569000,1953,5,0,dorval,montreal,3,2,https://www.centris.ca/en/houses~for-sale~dorval/20840428?view=Summary
12787099,House for sale,3750000,1980,19,0,dorval,montreal,4,3,https://www.centris.ca/en/houses~for-sale~dorval/12787099?view=Summary
9985798,House for sale,598000,1986,8,0,dorval,montreal,5,2,https://www.centris.ca/en/houses~for-sale~dorval/9985798?view=Summary
10037436,House for sale,1395000,1986,11,0,dorval,montreal,4,4,https://www.centris.ca/en/houses~for-sale~dorval/10037436?view=Summary
15832640,House for sale,569300,1952,7,0,dorval,montreal,4,2,https://www.centris.ca/en/houses~for-sale~dorval/15832640?view=Summary
21723982,House for sale,2198000,2005,13,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/21723982?view=Summary
17463008,House for sale,1995000,2017,8,0,dorval,montreal,5,3,https://www.centris.ca/en/houses~for-sale~dorval/17463008?view=Summary
