centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
9935114,House for sale,299000,1975,0,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/9935114?view=Summary
17059140,Condominium house for sale,385000,1995,0,0,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/17059140?view=Summary
26949704,House for sale,899000,1868,9,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/26949704?view=Summary
25792895,Condominium house for sale,299000,1975,0,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/25792895?view=Summary
18922044,House for sale,899000,1921,3,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/18922044?view=Summary
12524167,House for sale,429000,2000,3,0,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/12524167?view=Summary
22602781,House for sale,725000,1983,9,0,saint-lambert-monteregie,montreal,5,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/22602781?view=Summary
16864139,House for sale,645000,1955,10,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/16864139?view=Summary
23650717,House for sale,889000,1903,3,0,saint-lambert-monteregie,montreal,6,1,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/23650717?view=Summary
26225111,House for sale,1369000,1930,5,0,saint-lambert-monteregie,montreal,4,3,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/26225111?view=Summary
13678940,House for sale,999000,1964,7,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/houses~for-sale~saint-lambert-monteregie/13678940?view=Summary
15358929,Condominium house for sale,429000,1992,3,0,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/15358929?view=Summary
18851528,Condominium house for sale,429000,1973,0,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/18851528?view=Summary
