centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
9357986,Condominium house for sale,239900,1993,0,0,chateauguay,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~chateauguay/9357986?view=Summary
28735041,Condo for sale,262500,2011,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/28735041?view=Summary
26012075,Condo for sale,274000,2008,0,0,chateauguay,montreal,3,1,https://www.centris.ca/en/condos~for-sale~chateauguay/26012075?view=Summary
13603269,Condo for sale,200000,2013,0,968,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/13603269?view=Summary
14208059,Condo for sale,139000,1987,0,0,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/14208059?view=Summary
11901631,Condo for sale,249000,2015,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/11901631?view=Summary
21702436,Condo for sale,255000,2016,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/21702436?view=Summary
13796101,Condo for sale,285000,2018,0,1,chateauguay,montreal,3,1,https://www.centris.ca/en/condos~for-sale~chateauguay/13796101?view=Summary
22380902,Condominium house for sale,325000,2006,6,0,chateauguay,montreal,5,1,https://www.centris.ca/en/condominium-houses~for-sale~chateauguay/22380902?view=Summary
26177012,Condo for sale,195000,2007,0,1,chateauguay,montreal,2,1,https://www.centris.ca/en/condos~for-sale~chateauguay/26177012?view=Summary
24016121,Condo for sale,269900,2016,0,1,chateauguay,montreal,3,2,https://www.centris.ca/en/condos~for-sale~chateauguay/24016121?view=Summary
