centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
,,,2011,0,1,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/18966162?view=Summary
23614637,Condo for sale,315000,1958,0,731,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/23614637?view=Summary
28185060,Condo for sale,850000,1938,0,1,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/28185060?view=Summary
14683170,Condo for sale,365000,1956,0,700,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/14683170?view=Summary
23672678,Condo for sale,449000,1953,0,842,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/23672678?view=Summary
28158256,Condo for sale,950000,2018,0,1,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/28158256?view=Summary
19586613,Condo for sale,1059000,2008,0,2,mont-royal,montreal,5,2,https://www.centris.ca/en/condos~for-sale~mont-royal/19586613?view=Summary
23960298,Condominium house for sale,684000,1985,0,0,mont-royal,montreal,4,3,https://www.centris.ca/en/condominium-houses~for-sale~mont-royal/23960298?view=Summary
16019390,Condo for sale,482300,2020,0,0,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/16019390?view=Summary
13916182,Condo for sale,880000,2008,0,1,mont-royal,montreal,3,2,https://www.centris.ca/en/condos~for-sale~mont-royal/13916182?view=Summary
27300669,Condo for sale,449000,2011,0,871,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/27300669?view=Summary
18251091,Condo for sale,396512,2020,0,0,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/18251091?view=Summary
25548591,Condo for sale,1868000,2011,0,2,mont-royal,montreal,4,3,https://www.centris.ca/en/condos~for-sale~mont-royal/25548591?view=Summary
12321874,Condo for sale,309000,1953,0,644,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/12321874?view=Summary
18478559,Condo for sale,349000,2011,0,695,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/18478559?view=Summary
11803142,Condo for sale,579000,2011,0,1,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/11803142?view=Summary
24219450,Condo for sale,369000,2015,0,572,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/24219450?view=Summary
9992431,Condominium house for sale,1234000,1997,1,0,mont-royal,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~mont-royal/9992431?view=Summary
13215177,Condo for sale,759000,1920,0,1,mont-royal,montreal,3,2,https://www.centris.ca/en/condos~for-sale~mont-royal/13215177?view=Summary
22387775,Condo for sale,349000,2019,0,0,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/22387775?view=Summary
28149759,Condo for sale,499000,2011,0,837,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/28149759?view=Summary
26946161,Condo for sale,625000,2001,0,2,mont-royal,montreal,3,2,https://www.centris.ca/en/condos~for-sale~mont-royal/26946161?view=Summary
24724352,Condo for sale,1595000,2014,0,1,mont-royal,montreal,3,2,https://www.centris.ca/en/condos~for-sale~mont-royal/24724352?view=Summary
27903992,Condo for sale,329000,1958,0,743,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/27903992?view=Summary
26995732,Condo for sale,495000,1956,0,1,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/26995732?view=Summary
25875292,Condo for sale,199400,1963,0,564,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/25875292?view=Summary
17133787,Condo for sale,745000,2019,0,0,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/17133787?view=Summary
16988273,Condo for sale,589000,2011,0,979,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/16988273?view=Summary
11854610,Condo for sale,499000,2014,0,836,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/11854610?view=Summary
25371180,Condo for sale,456190,2020,0,0,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/25371180?view=Summary
14402697,Condo for sale,749000,2013,0,950,mont-royal,montreal,2,1,https://www.centris.ca/en/condos~for-sale~mont-royal/14402697?view=Summary
17482368,Condo for sale,468582,2020,0,0,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/17482368?view=Summary
16513789,Condo for sale,360000,1941,0,799,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/16513789?view=Summary
20773632,Condo for sale,539000,2013,0,954,mont-royal,montreal,2,2,https://www.centris.ca/en/condos~for-sale~mont-royal/20773632?view=Summary
18334269,Condo for sale,1349000,2019,0,0,mont-royal,montreal,3,2,https://www.centris.ca/en/condos~for-sale~mont-royal/18334269?view=Summary
11280292,Condo for sale,470000,1956,0,931,mont-royal,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~mont-royal/11280292?view=Summary
18677376,Condo for sale,879000,1956,0,1,mont-royal,montreal,4,2,https://www.centris.ca/en/condos~for-sale~mont-royal/18677376?view=Summary
