centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
20097224,Condo for sale,698000,2012,0,1,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/20097224?view=Summary
25884817,Condo for sale,237500,1947,0,526,montreal-lachine,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/25884817?view=Summary
22480041,Condo for sale,289000,2010,0,851,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/22480041?view=Summary
18406676,Condo for sale,259000,2015,0,505,montreal-lachine,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/18406676?view=Summary
22628485,Condo for sale,299000,2009,0,826,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/22628485?view=Summary
18678074,Condo for sale,269900,2012,0,623,montreal-lachine,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/18678074?view=Summary
27421254,Condo for sale,379000,1997,0,968,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/27421254?view=Summary
19135381,Condo for sale,214900,1988,0,745,montreal-lachine,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/19135381?view=Summary
23551776,Condo for sale,445900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/23551776?view=Summary
18548808,Condo for sale,319000,2000,0,872,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/18548808?view=Summary
17098339,Condo for sale,499000,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/17098339?view=Summary
24378063,Condo for sale,491900,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/24378063?view=Summary
25821698,Condo for sale,416900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/25821698?view=Summary
13373902,Condo for sale,400900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/13373902?view=Summary
27908780,Condo for sale,427900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/27908780?view=Summary
17302670,Condo for sale,498900,2020,0,0,montreal-lachine,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/17302670?view=Summary
24510118,Condo for sale,410900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/24510118?view=Summary
18283873,Condo for sale,359000,2012,0,898,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/18283873?view=Summary
27051015,Condo for sale,279900,2020,0,0,montreal-lachine,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/27051015?view=Summary
28496882,Condo for sale,381900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/28496882?view=Summary
10885309,Condo for sale,299000,1988,0,828,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/10885309?view=Summary
23747011,Condo for sale,379900,2018,0,0,montreal-lachine,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/23747011?view=Summary
23133580,Condo for sale,406900,2020,0,0,montreal-lachine,montreal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-lachine/23133580?view=Summary
