centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
19428287,Condominium house for sale,299000,1976,0,0,saint-lambert-monteregie,montreal,4,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/19428287?view=Summary
23987643,Condo for sale,449000,1988,0,1,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/23987643?view=Summary
25255080,Condo for sale,194500,1976,0,828,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/25255080?view=Summary
24568859,Condo for sale,189000,1966,0,579,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/24568859?view=Summary
11289939,Condo for sale,186000,1984,0,679,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/11289939?view=Summary
17059140,Condominium house for sale,385000,1995,0,0,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/17059140?view=Summary
13132962,Condo for sale,595000,2012,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/13132962?view=Summary
20561706,Condo for sale,649000,1915,0,1,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/20561706?view=Summary
25942331,Condo for sale,175000,1976,0,829,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/25942331?view=Summary
21514700,Condo for sale,409000,1988,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/21514700?view=Summary
22429109,Condo for sale,189000,1978,0,1,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/22429109?view=Summary
27435509,Condo for sale,180000,1979,0,78,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/27435509?view=Summary
19034625,Condo for sale,1549000,1989,0,3,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/19034625?view=Summary
23775857,Condo for sale,266000,1988,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/23775857?view=Summary
20797911,Condo for sale,335000,1987,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/20797911?view=Summary
13302478,Condo for sale,364900,1921,0,943,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/13302478?view=Summary
27645093,Condo for sale,239000,2018,0,619,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/27645093?view=Summary
12077116,Condo for sale,159900,1979,0,0,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/12077116?view=Summary
25792895,Condominium house for sale,299000,1975,0,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/25792895?view=Summary
25189413,Condo for sale,449000,2017,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/25189413?view=Summary
25515935,Condo for sale,199000,1971,0,725,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/25515935?view=Summary
22386340,Condo for sale,184900,1966,0,810,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/22386340?view=Summary
22684569,Condo for sale,585000,2012,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/22684569?view=Summary
26261842,Condo for sale,449000,1988,0,1,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/26261842?view=Summary
26901750,Condo for sale,595000,1988,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/26901750?view=Summary
18397085,Condo for sale,479000,1991,0,0,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/18397085?view=Summary
11282911,Condominium house for sale,895000,2018,998,0,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/11282911?view=Summary
23858578,Condo for sale,265000,1987,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/23858578?view=Summary
11834250,Condo for sale,349000,2003,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/11834250?view=Summary
22594779,Condo for sale,314900,1988,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/22594779?view=Summary
28580487,Condo for sale,369000,1927,0,1,saint-lambert-monteregie,montreal,3,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/28580487?view=Summary
11097855,Condo for sale,369000,2014,0,858,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/11097855?view=Summary
12480247,Condo for sale,499000,2017,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/12480247?view=Summary
21465801,Condo for sale,228000,1978,0,814,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/21465801?view=Summary
10912940,Condo for sale,269000,1987,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/10912940?view=Summary
16454706,Condo for sale,191000,1980,0,840,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/16454706?view=Summary
14411834,Condo for sale,789000,2018,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/14411834?view=Summary
20463140,Condo for sale,194900,1985,0,685,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/20463140?view=Summary
17847448,Condo for sale,199000,1968,0,795,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/17847448?view=Summary
18910459,Condominium house for sale,949000,2018,1,0,saint-lambert-monteregie,montreal,3,3,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/18910459?view=Summary
9872206,Condo for sale,229000,1955,0,846,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/9872206?view=Summary
26634925,Condo for sale,459900,2010,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/26634925?view=Summary
23218177,Condominium house for sale,719000,2001,0,0,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/condominium-houses~for-sale~saint-lambert-monteregie/23218177?view=Summary
10155283,Condo for sale,400000,2019,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/10155283?view=Summary
16349428,Condo for sale,329000,2017,0,809,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/16349428?view=Summary
12921086,Condo for sale,555000,2005,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/12921086?view=Summary
14396896,Condo for sale,338000,1988,0,1,saint-lambert-monteregie,montreal,3,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/14396896?view=Summary
28715218,Condo for sale,520000,2012,0,1,saint-lambert-monteregie,montreal,2,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/28715218?view=Summary
17081815,Condo for sale,399900,1989,0,1,saint-lambert-monteregie,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/17081815?view=Summary
19659821,Condo for sale,719000,2001,0,2,saint-lambert-monteregie,montreal,4,2,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/19659821?view=Summary
26145446,Condo for sale,395000,2010,0,1,saint-lambert-monteregie,montreal,2,1,https://www.centris.ca/en/condos~for-sale~saint-lambert-monteregie/26145446?view=Summary
