centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
23951242,House for sale,1188000,1971,9,0,beaconsfield,montreal,6,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/23951242?view=Summary
13006873,House for sale,5499000,2015,26,0,beaconsfield,montreal,5,4,https://www.centris.ca/en/houses~for-sale~beaconsfield/13006873?view=Summary
24712388,House for sale,848000,1975,7,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/24712388?view=Summary
11705010,House for sale,3950000,1971,20,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/11705010?view=Summary
22405468,House for sale,569900,1953,9,0,beaconsfield,montreal,5,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/22405468?view=Summary
24696993,House for sale,885000,1973,7,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/24696993?view=Summary
27287715,House for sale,649900,1965,20,0,beaconsfield,montreal,5,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/27287715?view=Summary
18486992,House for sale,988000,1953,10,0,beaconsfield,montreal,3,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/18486992?view=Summary
21630632,House for sale,1885000,2017,11,0,beaconsfield,montreal,6,5,https://www.centris.ca/en/houses~for-sale~beaconsfield/21630632?view=Summary
11815381,House for sale,988000,1962,8,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/11815381?view=Summary
10728719,House for sale,798000,1957,11,0,beaconsfield,montreal,5,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/10728719?view=Summary
21780021,House for sale,1089000,1964,9,0,beaconsfield,montreal,5,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/21780021?view=Summary
19058630,House for sale,549900,1956,15,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/19058630?view=Summary
22122559,House for sale,1370000,1988,7,0,beaconsfield,montreal,5,4,https://www.centris.ca/en/houses~for-sale~beaconsfield/22122559?view=Summary
24345922,House for sale,3500000,2015,12,0,beaconsfield,montreal,6,5,https://www.centris.ca/en/houses~for-sale~beaconsfield/24345922?view=Summary
20987007,House for sale,2359000,2019,15,0,beaconsfield,montreal,6,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/20987007?view=Summary
19024652,House for sale,719000,1957,8,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/19024652?view=Summary
10594538,House for sale,575000,1963,10,0,beaconsfield,montreal,3,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/10594538?view=Summary
26361515,House for sale,3100000,1960,16,0,beaconsfield,montreal,4,4,https://www.centris.ca/en/houses~for-sale~beaconsfield/26361515?view=Summary
12055149,House for sale,1058000,1965,9,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/12055149?view=Summary
19754877,House for sale,795000,1963,8,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/19754877?view=Summary
16540749,House for sale,848000,1972,9,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/16540749?view=Summary
16700103,House for sale,1149900,1966,8,0,beaconsfield,montreal,6,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/16700103?view=Summary
13037248,House for sale,5750000,2001,39,0,beaconsfield,montreal,6,4,https://www.centris.ca/en/houses~for-sale~beaconsfield/13037248?view=Summary
12268819,House for sale,999500,1973,12,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/12268819?view=Summary
18722063,House for sale,515700,1988,4,0,beaconsfield,montreal,3,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/18722063?view=Summary
14834077,House for sale,2195000,2020,10,0,beaconsfield,montreal,5,5,https://www.centris.ca/en/houses~for-sale~beaconsfield/14834077?view=Summary
22586902,House for sale,949000,1981,9,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/22586902?view=Summary
11599603,House for sale,1675000,2019,16,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/11599603?view=Summary
20727443,House for sale,799000,1980,7,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/20727443?view=Summary
24766225,House for sale,1895000,2011,13,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/24766225?view=Summary
16307361,House for sale,724000,1955,8,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/16307361?view=Summary
17314600,House for sale,2099000,1957,13,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/17314600?view=Summary
13364832,House for sale,1255000,1955,0,0,beaconsfield,montreal,4,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/13364832?view=Summary
13887515,House for sale,3895000,2011,16,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/13887515?view=Summary
18478371,House for sale,985000,1975,24,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/18478371?view=Summary
26476855,House for sale,1595000,1967,12,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/26476855?view=Summary
24725590,House for sale,1799000,1963,10,0,beaconsfield,montreal,5,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/24725590?view=Summary
11044603,House for sale,889000,1951,7,0,beaconsfield,montreal,3,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/11044603?view=Summary
25012327,House for sale,2289000,1947,14,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/25012327?view=Summary
13337973,House for sale,685000,1959,12,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/13337973?view=Summary
14724560,House for sale,1800000,1960,7,0,beaconsfield,montreal,4,2,https://www.centris.ca/en/houses~for-sale~beaconsfield/14724560?view=Summary
