centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
10672493,House for sale,1595000,1953,13,0,mont-royal,montreal,6,3,https://www.centris.ca/en/houses~for-sale~mont-royal/10672493?view=Summary
27397033,House for sale,985000,1952,5,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/27397033?view=Summary
23960298,Condominium house for sale,684000,1985,0,0,mont-royal,montreal,4,3,https://www.centris.ca/en/condominium-houses~for-sale~mont-royal/23960298?view=Summary
9211838,House for sale,1450000,1939,6,0,mont-royal,montreal,3,2,https://www.centris.ca/en/houses~for-sale~mont-royal/9211838?view=Summary
23138318,House for sale,2295000,1957,7,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/23138318?view=Summary
26518558,House for sale,2925000,1949,6,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/26518558?view=Summary
21051167,House for sale,1279000,1951,4,0,mont-royal,montreal,5,2,https://www.centris.ca/en/houses~for-sale~mont-royal/21051167?view=Summary
26384726,House for sale,1758000,1950,6,0,mont-royal,montreal,5,2,https://www.centris.ca/en/houses~for-sale~mont-royal/26384726?view=Summary
25585665,House for sale,970000,1948,3,0,mont-royal,montreal,3,2,https://www.centris.ca/en/houses~for-sale~mont-royal/25585665?view=Summary
14657657,House for sale,2880000,1948,9,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/14657657?view=Summary
15464390,House for sale,999000,1940,4,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/15464390?view=Summary
15338702,House for sale,3200000,1966,8,0,mont-royal,montreal,5,4,https://www.centris.ca/en/houses~for-sale~mont-royal/15338702?view=Summary
11901160,House for sale,2579000,1939,7,0,mont-royal,montreal,5,4,https://www.centris.ca/en/houses~for-sale~mont-royal/11901160?view=Summary
28408755,House for sale,1249000,1951,4,0,mont-royal,montreal,4,1,https://www.centris.ca/en/houses~for-sale~mont-royal/28408755?view=Summary
28349759,House for sale,1650000,1958,5,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/28349759?view=Summary
19416722,House for sale,1879000,1962,7,0,mont-royal,montreal,6,3,https://www.centris.ca/en/houses~for-sale~mont-royal/19416722?view=Summary
21381033,House for sale,1389000,1939,4,0,mont-royal,montreal,5,2,https://www.centris.ca/en/houses~for-sale~mont-royal/21381033?view=Summary
20846958,House for sale,1339900,1954,4,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/20846958?view=Summary
12357719,House for sale,1495000,1935,5,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/12357719?view=Summary
22590012,House for sale,2595000,1937,5,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/22590012?view=Summary
25469145,House for sale,1150000,1959,5,0,mont-royal,montreal,3,2,https://www.centris.ca/en/houses~for-sale~mont-royal/25469145?view=Summary
19989551,House for sale,1998000,1930,5,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/19989551?view=Summary
28162616,House for sale,4950000,1947,9,0,mont-royal,montreal,7,3,https://www.centris.ca/en/houses~for-sale~mont-royal/28162616?view=Summary
9657169,House for sale,684000,1985,0,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/9657169?view=Summary
20600800,House for sale,1234000,1997,1,0,mont-royal,montreal,3,2,https://www.centris.ca/en/houses~for-sale~mont-royal/20600800?view=Summary
11280606,House for sale,2675000,1954,6,0,mont-royal,montreal,6,3,https://www.centris.ca/en/houses~for-sale~mont-royal/11280606?view=Summary
18996798,House for sale,1680000,1952,10,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/18996798?view=Summary
13597004,House for sale,1349000,1948,5,0,mont-royal,montreal,3,1,https://www.centris.ca/en/houses~for-sale~mont-royal/13597004?view=Summary
28511052,House for sale,2249000,1940,7,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/28511052?view=Summary
15211407,House for sale,2398000,1950,7,0,mont-royal,montreal,5,3,https://www.centris.ca/en/houses~for-sale~mont-royal/15211407?view=Summary
20242404,House for sale,1880000,1930,6,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/20242404?view=Summary
22214323,House for sale,2550000,1946,7,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/22214323?view=Summary
10702470,House for sale,1895000,1952,5,0,mont-royal,montreal,6,2,https://www.centris.ca/en/houses~for-sale~mont-royal/10702470?view=Summary
27908702,House for sale,798000,1962,2,0,mont-royal,montreal,4,3,https://www.centris.ca/en/houses~for-sale~mont-royal/27908702?view=Summary
21694279,House for sale,1639000,1957,6,0,mont-royal,montreal,4,2,https://www.centris.ca/en/houses~for-sale~mont-royal/21694279?view=Summary
