centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
18596279,Income properties for sale,2575000,1967,11,0, Centre-Nord, Montréal-Nord,-1,-1,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-montreal-nord/18596279?view=Summary
23944113,Triplex for sale,764900,1966,2,0, Longue-Pointe, Montréal,-1,-1,https://www.centris.ca/en/triplexes~for-sale~montreal-mercier-hochelaga-maisonneuve/23944113?view=Summary
13190340,Quadruplex for sale,679000,1917,3,0, Bellerive, Beaurivage,-1,-1,https://www.centris.ca/en/4plex~for-sale~montreal-mercier-hochelaga-maisonneuve/13190340?view=Summary
20582676,Business for sale,149000,,0,0, Mile End, Plateau Mont-Royal,-1,-1,https://www.centris.ca/en/businesses~for-sale~montreal-le-plateau-mont-royal/20582676?view=Summary
15727920,Income properties for sale,1825000,1967,8,0, Grenet, Saint-Laurent,-1,-1,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-saint-laurent/15727920?view=Summary
12046042,Commercial unit for sale,699000,2003,0,0, Montréal-Nord-Est, Montréal-Nord,-1,-1,https://www.centris.ca/en/commercial-units~for-sale~montreal-montreal-nord/12046042?view=Summary
14405243,Income properties for sale,1100000,1964,16,0, Rivière-des-Prairies, Rivière-des-Prairies–Pointe-aux-Trembles,-1,-1,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/14405243?view=Summary
12451392,Quintuplex for sale,2500000,1900,2,0, Parc-Laurier, Plateau Mont-Royal,-1,-1,https://www.centris.ca/en/5plex~for-sale~montreal-le-plateau-mont-royal/12451392?view=Summary
27732356,Income properties for sale,1539000,1865,2,0, René-Lévesque, Ville-Marie,-1,-1,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-ville-marie/27732356?view=Summary
14953831,Business for sale,1250000,,0,0, Sainte-Anne-de-Bellevue, Agglomération de Montréal,-1,-1,https://www.centris.ca/en/businesses~for-sale~sainte-anne-de-bellevue/14953831?view=Summary
17817154,Business for sale,60000,,0,0, Griffintown, Ville-Marie,-1,-1,https://www.centris.ca/en/businesses~for-sale~montreal-ville-marie/17817154?view=Summary
11279079,Commercial building for sale,2990000,2000,41,0, Grande-Prairie, Saint-Léonard,-1,-1,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-saint-leonard/11279079?view=Summary
14150119,Duplex for sale,697000,1966,7,0, Pierrefonds-Ouest, Pierrefonds-Roxboro,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-pierrefonds-roxboro/14150119?view=Summary
12221922,Duplex for sale,800000,1943,1,0, Verdun, Montréal,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-verdun-ile-des-soeurs/12221922?view=Summary
13063674,Commercial unit for sale,849000,Unknown age,0,0, Port-Maurice, Saint-Léonard,-1,-1,https://www.centris.ca/en/commercial-units~for-sale~montreal-saint-leonard/13063674?view=Summary
14712620,Duplex for sale,609000,1968,3,0, Cecil-P.-Newman, LaSalle,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/14712620?view=Summary
21284692,Commercial building for sale,540000,1947,2,0, Ville-Émard, Le Sud-Ouest,-1,-1,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-le-sud-ouest/21284692?view=Summary
27535184,Duplex for sale,799900,1970,3,0, LaSalle, Montréal,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/27535184?view=Summary
28134976,Triplex for sale,699000,1964,3,0, Vieux-Lachine, Arrondissement de Lachine,-1,-1,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/28134976?view=Summary
15606772,Business for sale,179000,,0,0, Bois-Francs, Saint-Laurent,-1,-1,https://www.centris.ca/en/businesses~for-sale~montreal-saint-laurent/15606772?view=Summary
28723271,Lot for sale,78888,,0,0, René-Lévesque, Ville-Marie,-1,-1,https://www.centris.ca/en/lots~for-sale~montreal-ville-marie/28723271?view=Summary
20110035,Quadruplex for sale,748000,1961,3,0, Dupéré, Montréal,-1,-1,https://www.centris.ca/en/4plex~for-sale~montreal-anjou/20110035?view=Summary
12964093,Triplex for sale,682000,1950,2,0, Montréal, Agglomération de Montréal,-1,-1,https://www.centris.ca/en/triplexes~for-sale~montreal-rosemont-la-petite-patrie/12964093?view=Summary
20481913,Duplex for sale,399000,1915,3,0, Bellerive, Beaurivage,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-mercier-hochelaga-maisonneuve/20481913?view=Summary
28325808,Duplex for sale,969000,1875,1,0, Prince-Arthur, Plateau Mont-Royal,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-le-plateau-mont-royal/28325808?view=Summary
18994932,Business for sale,148900,,0,0, Dorval, Agglomération de Montréal,-1,-1,https://www.centris.ca/en/businesses~for-sale~dorval/18994932?view=Summary
26545069,Quadruplex for sale,745000,1959,5,0, Pierrefonds-Roxboro, Montréal,-1,-1,https://www.centris.ca/en/4plex~for-sale~montreal-pierrefonds-roxboro/26545069?view=Summary
17352806,Duplex for sale,945000,1970,4,0, Hampstead, Agglomération de Montréal,-1,-1,https://www.centris.ca/en/duplexes~for-sale~hampstead/17352806?view=Summary
25853550,Duplex for sale,299888,1910,2,0, Bellerive, Beaurivage,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-mercier-hochelaga-maisonneuve/25853550?view=Summary
9690108,Commercial building for sale,1350000,1967,5,0, Lachine-Ouest, Arrondissement de Lachine,-1,-1,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/9690108?view=Summary
14626586,Commercial building for sale,950000,1966,1,0, Pierrefonds-Ouest, L'Île-Bizard–Sainte-Geneviève,-1,-1,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-l-ile-bizard-sainte-genevieve/14626586?view=Summary
27749584,Duplex for sale,369000,1923,4,0, Centre-Nord, Montréal-Nord,-1,-1,https://www.centris.ca/en/duplexes~for-sale~montreal-montreal-nord/27749584?view=Summary
28636908,Quadruplex for sale,1098000,1981,4,0, Louis-Riel, Montréal,-1,-1,https://www.centris.ca/en/4plex~for-sale~montreal-mercier-hochelaga-maisonneuve/28636908?view=Summary
20521035,Business for sale,145000,,0,0, Villeray, Crémazie,-1,-1,https://www.centris.ca/en/businesses~for-sale~montreal-villeray-saint-michel-parc-extension/20521035?view=Summary
21136956,Triplex for sale,449000,1890,3,0, Vieux-Lachine, Arrondissement de Lachine,-1,-1,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/21136956?view=Summary
24659986,Lot for sale,54000,,0,0, Montagne, Ville-Marie,-1,-1,https://www.centris.ca/en/lots~for-sale~montreal-ville-marie/24659986?view=Summary
14044267,Quadruplex for sale,590400,1965,2,0, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal,-1,-1,https://www.centris.ca/en/4plex~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/14044267?view=Summary
21930846,Triplex for sale,870000,2003,5,0, Rivière-des-Prairies, Rivière-des-Prairies–Pointe-aux-Trembles,-1,-1,https://www.centris.ca/en/triplexes~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/21930846?view=Summary
21656993,Business for sale,47000,,0,0, Sault-aux-Récollets, La Visitation,-1,-1,https://www.centris.ca/en/businesses~for-sale~montreal-ahuntsic-cartierville/21656993?view=Summary
