centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
28684230,Condo for sale,1200000,2006,0,1, Montagne, Ville-Marie,2,2,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/28684230?view=Summary
19782304,Condo for sale,329000,2015,0,864, Saint-Sulpice, Montréal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-ahuntsic-cartierville/19782304?view=Summary
23472134,Condo for sale,499000,1994,0,1, Sault-Saint-Louis, LaSalle,3,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/23472134?view=Summary
27346754,Condo for sale,2075093,-1,0,0, Outremont, Montréal,2,2,https://www.centris.ca/en/condos~for-sale~montreal-outremont/27346754?view=Summary
28028688,Condo for sale,569000,2012,0,792, Montagne, Ville-Marie,2,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/28028688?view=Summary
14019898,Condo for sale,919000,2016,0,990, René-Lévesque, Ville-Marie,2,2,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/14019898?view=Summary
16396363,Condo for sale,458000,2018,0,868, Montréal-Est, Agglomération de Montréal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-est/16396363?view=Summary
27689746,Condo for sale,2850000,1964,0,2, Westmount, Agglomération de Montréal,3,3,https://www.centris.ca/en/condos~for-sale~westmount/27689746?view=Summary
9748418,Condo for sale,775000,Unknown age,0,1, Vieux-Montréal, Ville-Marie,2,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/9748418?view=Summary
10021985,Condo for sale,339900,2013,0,980, Chameran, Nouveau-Bordeau,2,2,https://www.centris.ca/en/condos~for-sale~montreal-ahuntsic-cartierville/10021985?view=Summary
11439104,Condo for sale,398900,2006,0,982, Saint-Laurent, Montréal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-saint-laurent/11439104?view=Summary
14699289,Condo for sale,549000,2017,0,549, René-Lévesque, Ville-Marie,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/14699289?view=Summary
17149594,Condo for sale,294000,1988,0,786, Jardins communautaires Saint-Sulpice, Saint-Sulpice,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ahuntsic-cartierville/17149594?view=Summary
25893982,Condo for sale,419000,2011,0,1, Chameran/Montpellier, Saint-Laurent,2,1,https://www.centris.ca/en/condos~for-sale~montreal-saint-laurent/25893982?view=Summary
24596235,Condo for sale,435000,"1900, Being converted",0,0, Plaza Saint-Hubert, Père-Marquette,2,1,https://www.centris.ca/en/condos~for-sale~montreal-rosemont-la-petite-patrie/24596235?view=Summary
26222331,Condo for sale,418000,-1,0,485, René-Lévesque, Ville-Marie,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/26222331?view=Summary
10443559,Condo for sale,550000,1987,0,1, Montagne, Ville-Marie,2,2,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/10443559?view=Summary
21191228,Condo for sale,349900,2012,0,897, Promenade Sainte-Catherine Est, Maisonneuve,2,1,https://www.centris.ca/en/condos~for-sale~montreal-mercier-hochelaga-maisonneuve/21191228?view=Summary
12773158,Condo for sale,869000,2017,0,882, René-Lévesque, Ville-Marie,2,2,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/12773158?view=Summary
22153648,Condo for sale,700000,-1,0,0, Griffintown, Le Sud-Ouest,2,2,https://www.centris.ca/en/condos~for-sale~montreal-le-sud-ouest/22153648?view=Summary
24178844,Condo for sale,385000,2014,0,460, René-Lévesque, Ville-Marie,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/24178844?view=Summary
22453495,Condo for sale,459000,2010,0,660, René-Lévesque, Ville-Marie,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/22453495?view=Summary
22091002,Condo for sale,259000,1947,0,603, Vieux-Lachine, Arrondissement de Lachine,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lachine/22091002?view=Summary
27180833,Condo for sale,229000,1999,0,739, Sault-Saint-Louis, LaSalle,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/27180833?view=Summary
20537561,Condo for sale,424900,2009,0,906, Desmarchais-Crawford, Le Sud-Ouest,3,1,https://www.centris.ca/en/condos~for-sale~montreal-le-sud-ouest/20537561?view=Summary
9338751,Condo for sale,439934,2016,0,516, René-Lévesque, Ville-Marie,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/9338751?view=Summary
25037829,Condo for sale,352381,2017,0,1, Parc-Jarry, Montréal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-villeray-saint-michel-parc-extension/25037829?view=Summary
17944311,Condo for sale,412000,1989,0,864, Île-des-Sœurs, Verdun,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-verdun-ile-des-soeurs/17944311?view=Summary
23293944,Condo for sale,548000,1926,0,0, Parc-Laurier, Plateau Mont-Royal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-le-plateau-mont-royal/23293944?view=Summary
