centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
28131129,House for sale,1589000,2001,9,0, Kirkland, Agglomération de Montréal,6,3,https://www.centris.ca/en/houses~for-sale~beaconsfield/28131129?view=Summary
15432299,House for sale,549000,1988,4,0, Pierrefonds-Est/Roxboro, Pierrefonds-Roxboro,4,2,https://www.centris.ca/en/houses~for-sale~montreal-pierrefonds-roxboro/15432299?view=Summary
22890829,House for sale,609000,1986,3,0, Port-Maurice, Saint-Léonard,3,1,https://www.centris.ca/en/houses~for-sale~montreal-saint-leonard/22890829?view=Summary
11972570,House for sale,839000,2013,3,0, Grenet, Saint-Laurent,4,2,https://www.centris.ca/en/houses~for-sale~montreal-saint-laurent/11972570?view=Summary
9666300,House for sale,989900,1915,910,0,1603, Rue Marie-Anne Est,4,2,https://www.centris.ca/en/houses~for-sale~montreal-le-plateau-mont-royal/9666300?view=Summary
22250555,House for sale,629000,1950,0,0, Cartierville, Montréal,5,3,https://www.centris.ca/en/houses~for-sale~montreal-saint-laurent/22250555?view=Summary
26345799,House for sale,1775000,1962,8,0, Sainte-Anne-de-Bellevue, Agglomération de Montréal,4,3,https://www.centris.ca/en/houses~for-sale~sainte-anne-de-bellevue/26345799?view=Summary
20005197,House for sale,829000,1947,4,0, Marie-Victorin, Montréal,4,2,https://www.centris.ca/en/houses~for-sale~montreal-rosemont-la-petite-patrie/20005197?view=Summary
17895422,House for sale,845000,1942,4,0, Desmarchais-Crawford, LaSalle,4,2,https://www.centris.ca/en/houses~for-sale~montreal-verdun-ile-des-soeurs/17895422?view=Summary
16738237,House for sale,289000,1954,4,0, Marc-Aurèle-Fortin, Rivière-des-Prairies–Pointe-aux-Trembles,3,1,https://www.centris.ca/en/houses~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/16738237?view=Summary
28795017,House for sale,1500000,2010,4,0, Snowdon, Côte-des-Neiges–Notre-Dame-de-Grâce,7,3,https://www.centris.ca/en/houses~for-sale~montreal-cote-des-neiges-notre-dame-de-grace/28795017?view=Summary
16259409,House for sale,969000,1992,5,0, Dollard-Des-Ormeaux, Agglomération de Montréal,4,3,https://www.centris.ca/en/houses~for-sale~dollard-des-ormeaux/16259409?view=Summary
27628412,House for sale,550000,1997,1,0, Sainte-Anne-de-Bellevue, Agglomération de Montréal,4,2,https://www.centris.ca/en/houses~for-sale~sainte-anne-de-bellevue/27628412?view=Summary
28612529,House for sale,998000,1885,2,0, Parc-Lafontaine, Plateau Mont-Royal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-le-plateau-mont-royal/28612529?view=Summary
19297811,House for sale,3100000,1910,8,0, Westmount, Agglomération de Montréal,6,4,https://www.centris.ca/en/houses~for-sale~westmount/19297811?view=Summary
14677160,House for sale,824000,1955,4,0, Loyola, Côte-des-Neiges–Notre-Dame-de-Grâce,4,1,https://www.centris.ca/en/houses~for-sale~montreal-cote-des-neiges-notre-dame-de-grace/14677160?view=Summary
18375224,House for sale,1775000,2001,18,0, Bois-Francs, Saint-Laurent,4,3,https://www.centris.ca/en/houses~for-sale~montreal-saint-laurent/18375224?view=Summary
9192227,House for sale,7896000,1990,25,0, Dorval, Agglomération de Montréal,6,5,https://www.centris.ca/en/houses~for-sale~dorval/9192227?view=Summary
15407362,House for sale,359000,1984,4,0, Rivière-des-Prairies–Pointe-aux-Trembles, Montréal,3,2,https://www.centris.ca/en/houses~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/15407362?view=Summary
