centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
27405140,House for sale,299900,1974,6,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/27405140?view=Summary
25569906,House for sale,580500,2004,11,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/25569906?view=Summary
24913583,House for sale,299000,1962,5,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/24913583?view=Summary
28641644,House for sale,499900,1994,9,0,chateauguay,south-shore,4,3,https://www.centris.ca/en/houses~for-sale~chateauguay/28641644?view=Summary
13504990,House for sale,299900,1962,5,0,chateauguay,south-shore,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/13504990?view=Summary
10891036,House for sale,299000,1988,5,0,chateauguay,south-shore,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/10891036?view=Summary
22090924,House for sale,679000,2011,0,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/22090924?view=Summary
11659409,House for sale,275000,2010,4,0,chateauguay,south-shore,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/11659409?view=Summary
20546106,House for sale,489000,2015,4,0,chateauguay,south-shore,5,2,https://www.centris.ca/en/houses~for-sale~chateauguay/20546106?view=Summary
14384332,House for sale,254000,1962,6,0,chateauguay,south-shore,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/14384332?view=Summary
26801211,House for sale,558000,2017,5,0,chateauguay,south-shore,3,3,https://www.centris.ca/en/houses~for-sale~chateauguay/26801211?view=Summary
11312238,House for sale,210000,1947,7,0,chateauguay,south-shore,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/11312238?view=Summary
14890917,House for sale,414986,-1,8,0,chateauguay,south-shore,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/14890917?view=Summary
27794772,House for sale,219000,1955,7,0,chateauguay,south-shore,2,1,https://www.centris.ca/en/houses~for-sale~chateauguay/27794772?view=Summary
10864820,House for sale,243900,1959,5,0,chateauguay,south-shore,5,1,https://www.centris.ca/en/houses~for-sale~chateauguay/10864820?view=Summary
25980599,House for sale,429900,1955,8,0,chateauguay,south-shore,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/25980599?view=Summary
10295060,House for sale,1849000,2010,18,0,chateauguay,south-shore,7,5,https://www.centris.ca/en/houses~for-sale~chateauguay/10295060?view=Summary
19936030,House for sale,394900,1954,7,0,chateauguay,south-shore,3,1,https://www.centris.ca/en/houses~for-sale~chateauguay/19936030?view=Summary
28154937,House for sale,295000,2009,2,0,chateauguay,south-shore,2,1,https://www.centris.ca/en/houses~for-sale~chateauguay/28154937?view=Summary
19461592,House for sale,324900,1968,0,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/19461592?view=Summary
23575851,House for sale,399000,1994,5,0,chateauguay,south-shore,4,1,https://www.centris.ca/en/houses~for-sale~chateauguay/23575851?view=Summary
12265709,House for sale,424900,2010,5,0,chateauguay,south-shore,4,2,https://www.centris.ca/en/houses~for-sale~chateauguay/12265709?view=Summary
25867421,House for sale,558000,2009,5,0,chateauguay,south-shore,5,2,https://www.centris.ca/en/houses~for-sale~chateauguay/25867421?view=Summary
14940468,House for sale,240000,1949,5,0,chateauguay,south-shore,3,2,https://www.centris.ca/en/houses~for-sale~chateauguay/14940468?view=Summary
