centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
23894477,Quadruplex for sale,"$678,000",78 - 78C, Rue Marquette,"Lat:45.3638020000, Lon:-73.7441670000",,,,Semi-detached,1988,"6,531 sqft",,https://www.centris.ca/en/4plex~for-sale~chateauguay/23894477?view=Summary
21334809,Lot for sale,"$329,000",Rue Perron, Châteauguay,"Lat:45.3785369100, Lon:-73.7561097900",,,,,,"20,728 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/21334809?view=Summary
18235962,Lot for sale,"$280,000",boulevard Salaberry Sud, Châteauguay,"Lat:45.3623470000, Lon:-73.7501540000",,,,,,"18,661 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/18235962?view=Summary
24017111,Duplex for sale,"$279,000",205A - 205B, boulevard D'Youville,"Lat:45.3694615800, Lon:-73.7561102500",,,,Detached,1940,"6,793 sqft",,https://www.centris.ca/en/duplexes~for-sale~chateauguay/24017111?view=Summary
9120147,Duplex for sale,"$218,000",31 - 31B, Rue Dupont Ouest,"Lat:45.3792900000, Lon:-73.7472870000",,,,Detached,1950,"8,385 sqft",,https://www.centris.ca/en/duplexes~for-sale~chateauguay/9120147?view=Summary
17884019,Triplex for sale,"$549,500",76, Rue Taylor,"Lat:45.3748730000, Lon:-73.7610500000",,,,Detached,2008,"5,614 sqft",,https://www.centris.ca/en/triplexes~for-sale~chateauguay/17884019?view=Summary
26957405,Triplex for sale,"$449,900",89 - 89A, Rue Principale,"Lat:45.3587586800, Lon:-73.7531253900",,,,Detached,1949,"7,565 sqft",,https://www.centris.ca/en/triplexes~for-sale~chateauguay/26957405?view=Summary
10348226,Lot for sale,"$429,000",Chemin de la Haute-Rivière, Châteauguay,"Lat:45.3229292600, Lon:-73.7755059700",,,,,,"44,382 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/10348226?view=Summary
24562672,Commercial building for sale,"$645,000",65, boulevard Salaberry Sud,"Lat:45.3620600000, Lon:-73.7489140000",,,,,1888,"8,083 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~chateauguay/24562672?view=Summary
23137995,Commercial building for sale,"$1,350,000",210, boulevard Saint-Jean-Baptiste,"Lat:45.3505900000, Lon:-73.7207820000",,,,,Unknown age,"26,387 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~chateauguay/23137995?view=Summary
10332331,Triplex for sale,"$499,000",212 - 214, boulevard Rousseau,"Lat:45.3584265300, Lon:-73.7698687000",,,,Detached,1967,"5,700 sqft",,https://www.centris.ca/en/triplexes~for-sale~chateauguay/10332331?view=Summary
27275825,Lot for sale,"$118,000",Rue Saint-Jean, Châteauguay,"Lat:45.3722057800, Lon:-73.7602522000",,,,,,"5,400 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/27275825?view=Summary
27766476,Commercial building for sale,"$750,000",975, boulevard Ford,"Lat:45.3456455500, Lon:-73.6839675900",,,,,1987,"55,500 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~chateauguay/27766476?view=Summary
28257140,Duplex for sale,"$249,000",55 - 55A, Rue Jeanne-d'Arc,"Lat:45.3736280000, Lon:-73.7597860000",,,,Detached,1955,"7,122 sqft",,https://www.centris.ca/en/duplexes~for-sale~chateauguay/28257140?view=Summary
24726206,Lot for sale,"$599,000",boulevard Saint-Jean-Baptiste, Châteauguay,"Lat:45.3531974100, Lon:-73.7187713300",,,,,,"20,643 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/24726206?view=Summary
11457909,Commercial unit for sale,"$399,995",250, boulevard Ford,"Lat:45.3483720000, Lon:-73.6982890000",,,,,1987,"7,500 sqft",,https://www.centris.ca/en/commercial-units~for-sale~chateauguay/11457909?view=Summary
12055120,Lot for sale,"$1,188,000",40Z, Rue de la Bergerie,"Lat:45.3719460000, Lon:-73.7470100000",,,,,,"116,364 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/12055120?view=Summary
14740488,Lot for sale,"$85,000",Rue Charles-Cros, Châteauguay,"Lat:45.3616283400, Lon:-73.7055802800",,,,,,"7,849 sqft",,https://www.centris.ca/en/lots~for-sale~chateauguay/14740488?view=Summary
19761564,Income properties for sale,"$1,460,000",Rue Albert-Seers, Châteauguay,"Lat:45.3503040400, Lon:-73.7533604300",,,,,"To be built, New","11,142 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~chateauguay/19761564?view=Summary
14780607,Duplex for sale,"$379,000",267 - 267A, boulevard Saint-Jean-Baptiste,"Lat:45.3456490100, Lon:-73.7241717500",,,,Detached,1957,"9,426 sqft",,https://www.centris.ca/en/duplexes~for-sale~chateauguay/14780607?view=Summary
24879029,Income properties for sale,"$719,000",222, Rue Léon-Bloy,"Lat:45.3581870800, Lon:-73.7682242900",,,,,1969,"7,790 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~chateauguay/24879029?view=Summary
9225044,Income properties for sale,"$719,000",70, Chemin de la Haute-Rivière,"Lat:45.3555030400, Lon:-73.7440322900",,,,,"Unknown age, Century","21,931 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~chateauguay/9225044?view=Summary
21991700,Triplex for sale,"$529,000",200 - 202, boulevard Rousseau,"Lat:45.3581839600, Lon:-73.7697281700",,,,Detached,1967,"5,700 sqft",,https://www.centris.ca/en/triplexes~for-sale~chateauguay/21991700?view=Summary
24224508,Income properties for sale,"$950,000",121 - 125E, boulevard D'Anjou,"Lat:45.3600350000, Lon:-73.7291480000",,,,,1960,"25,661 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~chateauguay/24224508?view=Summary
16013009,Duplex for sale,"$269,999",66 - 66A, Rue Trudeau,"Lat:45.3760780000, Lon:-73.7424430000",,,,Detached,1945,"7,200 sqft",,https://www.centris.ca/en/duplexes~for-sale~chateauguay/16013009?view=Summary
28066681,Commercial building for sale,"$5,300,000",65 - 75, boulevard Saint-Jean-Baptiste,"Lat:45.3630887300, Lon:-73.7135281900",,,,,1962,"73,323 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~chateauguay/28066681?view=Summary
13411579,Quadruplex for sale,"$329,909",279 - 285, boulevard D'Youville,"Lat:45.3749672900, Lon:-73.7540870000",,,,Detached,1945,"8,980 sqft",,https://www.centris.ca/en/4plex~for-sale~chateauguay/13411579?view=Summary
