centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
13364256,Land for sale,"$849,000",Avenue Saint-Charles, Dorval,"Lat:45.4382655400, Lon:-73.7279758700",,,,,,"9,078 sqft",,https://www.centris.ca/en/land~for-sale~dorval/13364256?view=Summary
25220881,Lot for sale,"$548,000",Handfield Circle, Dorval,"Lat:45.4425591100, Lon:-73.7278312800",,,,,,"8,330 sqft",,https://www.centris.ca/en/lots~for-sale~dorval/25220881?view=Summary
25334629,Land for sale,"$1,200,000",235, Avenue Dorval,"Lat:45.4422170000, Lon:-73.7399590000",,,,,,"11,000 sqft",,https://www.centris.ca/en/land~for-sale~dorval/25334629?view=Summary
25123634,Business for sale,"$790,000",Rue Non Disponible-Unavailable, Dorval,"Lat:45.4437126300, Lon:-73.7476842200",,,,,,,,https://www.centris.ca/en/businesses~for-sale~dorval/25123634?view=Summary
17853232,Duplex for sale,"$549,000",373 - 375, Avenue Martin,"Lat:45.4462590000, Lon:-73.7321910000",,,,Detached,1954,"3,601 sqft",,https://www.centris.ca/en/duplexes~for-sale~dorval/17853232?view=Summary
22694782,Income properties for sale,"$3,250,000",285, Avenue Dorval,"Lat:45.4433740000, Lon:-73.7403130000",,,,,"To be built, New","20,050 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~dorval/22694782?view=Summary
10511782,Business for sale,"$11,900,000",Rue Non Disponible-Unavailable, Dorval,"Lat:45.4402379800, Lon:-73.7549716900",,,,,,,,https://www.centris.ca/en/businesses~for-sale~dorval/10511782?view=Summary
9475970,Commercial building for sale,"$4,950,000",200 - 230, Avenue Dorval,"Lat:45.4416833300, Lon:-73.7407425300",,,,,1961,"51,533 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~dorval/9475970?view=Summary
16598185,Lot for sale,"$997,171",Chemin du Bord-du-Lac-Lakeshore, Dorval,"Lat:45.4377565400, Lon:-73.7487558300",,,,,,"7,977 sqft",,https://www.centris.ca/en/lots~for-sale~dorval/16598185?view=Summary
28970184,Lot for sale,"$2,438,088",Chemin du Bord-du-Lac-Lakeshore, Dorval,"Lat:45.4376210300, Lon:-73.7493995600",,,,,,"17,415 sqft",,https://www.centris.ca/en/lots~for-sale~dorval/28970184?view=Summary
10766825,Business for sale,"$99,900",2046, Avenue Chartier,"Lat:45.4622040000, Lon:-73.7259240000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~dorval/10766825?view=Summary
20710180,Triplex for sale,"$725,000",350 - 352, Avenue Lilas,"Lat:45.4456230000, Lon:-73.7364930000",,,,Detached,1954,"4,000 sqft",,https://www.centris.ca/en/triplexes~for-sale~dorval/20710180?view=Summary
21101322,Business for sale,"$180,000",450, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4404490000, Lon:-73.7309030000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~dorval/21101322?view=Summary
15805741,Income properties for sale,"$925,000",442Z - 444Z, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4405880000, Lon:-73.7304550000",,,,,"1894, Century","5,390 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~dorval/15805741?view=Summary
21475920,Lot for sale,"$499,000",boulevard Neptune, Dorval,"Lat:45.4480141000, Lon:-73.7739094900",,,,,,"6,261 sqft",,https://www.centris.ca/en/lots~for-sale~dorval/21475920?view=Summary
10137257,Commercial building for sale,"$925,000",442 - 444, Chemin du Bord-du-Lac-Lakeshore,"Lat:45.4406745700, Lon:-73.7304925500",,,,,"1894, Century","5,390 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~dorval/10137257?view=Summary
27402246,Business for sale,"$48,000",220, Avenue Dorval,"Lat:45.4417140000, Lon:-73.7401850000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~dorval/27402246?view=Summary
28518346,Triplex for sale,"$849,000",141 - 145, Avenue Lepage,"Lat:45.4416120000, Lon:-73.7457730000",,,,Detached,1925,"6,825 sqft",,https://www.centris.ca/en/triplexes~for-sale~dorval/28518346?view=Summary
