centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
21618937,Business for sale,"$1,590,000",Rue Non Disponible-Unavailable, Montréal (Lachine),"Lat:45.4364030000, Lon:-73.6972650000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lachine/21618937?view=Summary
23085233,Commercial building for sale,"$849,000",1140 - 1150, Rue Notre-Dame,"Lat:45.4351072600, Lon:-73.6739630800",,,,,1946,"5,548 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lachine/23085233?view=Summary
14941526,Duplex for sale,"$399,900",30 - 32, Avenue Windsor,"Lat:45.4442520000, Lon:-73.6532230000",,,,Detached,Unknown age,"6,000 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/14941526?view=Summary
20149823,Quadruplex for sale,"$1,155,000",540 - 546, 16e Avenue,"Lat:45.4389830000, Lon:-73.6776960000",,,,Attached,1950,"4,000 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lachine/20149823?view=Summary
21858972,Triplex for sale,"$689,000",675 - 679, 20e Avenue,"Lat:45.4413094600, Lon:-73.6827079800",,,,Semi-detached,1952,"5,818 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/21858972?view=Summary
27121444,Duplex for sale,"$589,000",887 - 889, 56e Avenue,"Lat:45.4465760000, Lon:-73.7213420000",,,,Semi-detached,1960,"2,866 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/27121444?view=Summary
27968293,Triplex for sale,"$699,000",570 - 578, Terrasse Louis-Basile-Pigeon,"Lat:45.4471030000, Lon:-73.6879390000",,,,Semi-detached,1988,,,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/27968293?view=Summary
18283359,Duplex for sale,"$549,000",825 - 827, 56e Avenue,"Lat:45.4452640000, Lon:-73.7209070000",,,,Semi-detached,1964,"2,999 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lachine/18283359?view=Summary
12739383,Income properties for sale,"$1,175,000",396, 9e Avenue,"Lat:45.4370030000, Lon:-73.6715230000",,,,,1968,"4,293 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lachine/12739383?view=Summary
24404129,Land for sale,"$395,000",5054, Rue Sir-George-Simpson,"Lat:45.4477061700, Lon:-73.7146481400",,,,,,"5,183 sqft",,https://www.centris.ca/en/land~for-sale~montreal-lachine/24404129?view=Summary
11623755,Triplex for sale,"$749,900",526 - 530, 24e Avenue,"Lat:45.4384330000, Lon:-73.6852160000",,,,Detached,1947,,,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/11623755?view=Summary
20442648,Triplex for sale,"$539,000",1095 - 1097, Rue Sherbrooke,"Lat:45.4447800000, Lon:-73.6737280000",,,,Semi-detached,1956,"2,659 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lachine/20442648?view=Summary
