centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
22620168,Business for sale,"$1,100,000",9026 - 9030, Terrasse Centrale,"Lat:45.4169051200, Lon:-73.6338429500",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/22620168?view=Summary
27515989,Business for sale,"$88,000",7569, boulevard Newman,"Lat:45.4395730000, Lon:-73.6221780000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/27515989?view=Summary
15940262,Commercial building for sale,"$1,750,000",9196 - 9198, Rue Boivin,"Lat:45.4229360000, Lon:-73.6372770000",,,,,1971,"22,500 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lasalle/15940262?view=Summary
13924371,Business for sale,"$69,000",7077, boulevard Newman,"Lat:45.4478450300, Lon:-73.6156296000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/13924371?view=Summary
22388467,Quadruplex for sale,"$769,000",394 - 400, Rue Trudeau,"Lat:45.4307100000, Lon:-73.6412110000",,,,Detached,1957,,,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/22388467?view=Summary
13801528,Commercial building for sale,"$760,000",Rue Non Disponible-Unavailable, Montréal (LaSalle),"Lat:45.4389560000, Lon:-73.5813300000",,,,,1919,"4,999 sqft",,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lasalle/13801528?view=Summary
23132072,Income properties for sale,"$5,250,000",1650 - 1678, Rue Thierry,"Lat:45.4359650000, Lon:-73.6245970000",,,,,1974,"25,478 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lasalle/23132072?view=Summary
27689513,Quadruplex for sale,"$965,000",16 - 22, 5e Avenue,"Lat:45.4299890000, Lon:-73.5934020000",,,,Detached,1954,"4,350 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/27689513?view=Summary
26151587,Duplex for sale,"$699,000",8332 - 8334, Rue Dora,"Lat:45.4326590000, Lon:-73.6271820000",,,,Attached,1966,"2,324 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/26151587?view=Summary
11236732,Duplex for sale,"$899,000",1500 - 1502, Rue Thierry,"Lat:45.4354060000, Lon:-73.6215890000",,,,Semi-detached,1969,"4,848 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/11236732?view=Summary
12975206,Duplex for sale,"$649,000",8804 - 8806, Rue Chartrand,"Lat:45.4262210000, Lon:-73.6289890000",,,,Semi-detached,1967,"3,243 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/12975206?view=Summary
19983303,Lot for sale,"$495,000",boulevard LaSalle, Montréal (LaSalle),"Lat:45.4217082600, Lon:-73.6530426100",,,,,,"6,850 sqft",,https://www.centris.ca/en/lots~for-sale~montreal-lasalle/19983303?view=Summary
26223772,Duplex for sale,"$695,000",8805 - 8807, Rue Chartrand,"Lat:45.4263410000, Lon:-73.6294830000",,,,Semi-detached,1969,"2,950 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/26223772?view=Summary
15885749,Duplex for sale,"$519,000",97 - 99, Avenue du Trésor-Caché,"Lat:45.4249870000, Lon:-73.6523330000",,,,Detached,1950,"4,000 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/15885749?view=Summary
24887979,Duplex for sale,"$649,000",9395 - 9397, Rue de Brome,"Lat:45.4225250000, Lon:-73.6452500000",,,,Semi-detached,1961,"3,333 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/24887979?view=Summary
28802388,Commercial building for sale,"$459,000",72 - 78, Rue Centrale,"Lat:45.4230340000, Lon:-73.6511140000",,,,,1938,,,https://www.centris.ca/en/commercial-buildings~for-sale~montreal-lasalle/28802388?view=Summary
