centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
,,,,,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/25786428?view=Summary
9674776,Condo for sale,"$529,000",79, Avenue Elm,"Lat:45.4362864800, Lon:-73.8443852500",2 bedrooms,2 bathrooms,,,2019,,"1,026 sqft",https://www.centris.ca/en/condos~for-sale~beaconsfield/9674776?view=Summary
15673843,Condo for sale,"$457,970",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/15673843?view=Summary
19401193,Condo for sale,"$296,360",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/19401193?view=Summary
16424466,Condo for sale,"$460,965",79, Avenue Elm,"Lat:45.4287390000, Lon:-73.8811870000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/16424466?view=Summary
27485987,Condo for sale,"$279,000",80, Croissant Elgin,"Lat:45.4368230000, Lon:-73.8433950000",3 bedrooms,1 bathroom,,,1978,,"1,034 sqft",https://www.centris.ca/en/condos~for-sale~beaconsfield/27485987?view=Summary
20897226,Condo for sale,"$256,180",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/20897226?view=Summary
12473249,Condo for sale,"$412,020",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/12473249?view=Summary
21594629,Condo for sale,"$384,335",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/21594629?view=Summary
22035901,Condo for sale,"$469,140",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/22035901?view=Summary
14172381,Condo for sale,"$478,470",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/14172381?view=Summary
20001941,Condo for sale,"$558,000",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/20001941?view=Summary
14998609,Condo for sale,"$263,160",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/14998609?view=Summary
16781180,Condo for sale,"$261,480",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/16781180?view=Summary
27625065,Condo for sale,"$432,525",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/27625065?view=Summary
11630028,Condominium house for sale,"$799,000",86, Beaurepaire Drive,"Lat:45.4339653100, Lon:-73.8458781100",3 bedrooms,2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,Attached,2018,,,https://www.centris.ca/en/condominium-houses~for-sale~beaconsfield/11630028?view=Summary
20107275,Condo for sale,"$407,700",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/20107275?view=Summary
25485329,Condo for sale,"$209,000",90, Croissant Elgin,"Lat:45.4370800000, Lon:-73.8424960000",,1 bathroom,,,1978,,618 sqft,https://www.centris.ca/en/condos~for-sale~beaconsfield/25485329?view=Summary
12931496,Condo for sale,"$460,965",79, Avenue Elm,"Lat:45.4372275300, Lon:-73.8403190200",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/12931496?view=Summary
9382943,Condo for sale,"$247,685",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/9382943?view=Summary
19696824,Condo for sale,"$304,320",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",,1 bathroom,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/19696824?view=Summary
16769834,Condo for sale,"$490,140",79, Avenue Elm,"Lat:45.4372200000, Lon:-73.8402010000",2 bedrooms,2 bathrooms,,,"Under construction, New",,,https://www.centris.ca/en/condos~for-sale~beaconsfield/16769834?view=Summary
