centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
13916182,Condo for sale,"$860,000",150, Chemin Bates,"Lat:45.5162671800, Lon:-73.6278406600",3 bedrooms,2 bathrooms,,,2008,,"1,747 sqft",https://www.centris.ca/en/condos~for-sale~mont-royal/13916182?view=Summary
9641910,Condo for sale,"$599,000",240, Chemin Bates,"Lat:45.5149690000, Lon:-73.6293580000",2 bedrooms,2 bathrooms,,,2011,,981 sqft,https://www.centris.ca/en/condos~for-sale~mont-royal/9641910?view=Summary
18334269,Condo for sale,"$1,349,000",130, Chemin Bates,"Lat:45.5165690000, Lon:-73.6269770000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,,2019,,,https://www.centris.ca/en/condos~for-sale~mont-royal/18334269?view=Summary
24724352,Condo for sale,"$1,395,000",145, Chemin Bates,"Lat:45.5164647000, Lon:-73.6280580500",3 bedrooms,2 bathrooms,,,2014,,"1,951 sqft",https://www.centris.ca/en/condos~for-sale~mont-royal/24724352?view=Summary
18167005,Condo for sale,"$675,000",775, Avenue Plymouth,"Lat:45.5056970000, Lon:-73.6607850000",2 bedrooms,2 bathrooms,,,2017,,848 sqft,https://www.centris.ca/en/condos~for-sale~mont-royal/18167005?view=Summary
19007477,Condo for sale,"$817,000",493, boulevard Graham,"Lat:45.5199397200, Lon:-73.6311260000",3 bedrooms (1 in basement),2 bathrooms,,,1961,,"1,798 sqft",https://www.centris.ca/en/condos~for-sale~mont-royal/19007477?view=Summary
21476013,Condo for sale,"$285,000",2450, Chemin Athlone,"Lat:45.5175780000, Lon:-73.6558810000",2 bedrooms,2 bathrooms,,,1963,,,https://www.centris.ca/en/condos~for-sale~mont-royal/21476013?view=Summary
25875292,Condo for sale,"$199,400",2450, Chemin Athlone,"Lat:45.5173490000, Lon:-73.6539990000",,1 bathroom,,,1963,,564 sqft,https://www.centris.ca/en/condos~for-sale~mont-royal/25875292?view=Summary
12617657,Condominium house for sale,"$679,000",125, Avenue Brittany,"Lat:45.5232650000, Lon:-73.6522690000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,Attached,1987,,,https://www.centris.ca/en/condominium-houses~for-sale~mont-royal/12617657?view=Summary
20966756,Condo for sale,"$474,888",775, Avenue Plymouth,"Lat:45.5056970000, Lon:-73.6607850000",,1 bathroom,,,2017,,601 sqft,https://www.centris.ca/en/condos~for-sale~mont-royal/20966756?view=Summary
13942191,Condominium house for sale,"$1,170,000",173, Avenue Dresden,"Lat:45.5178340000, Lon:-73.6304290000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,Attached,1997,,,https://www.centris.ca/en/condominium-houses~for-sale~mont-royal/13942191?view=Summary
22387775,Condo for sale,"$349,000",130, Chemin Bates,"Lat:45.5165690000, Lon:-73.6269770000",,1 bathroom,,,2019,,,https://www.centris.ca/en/condos~for-sale~mont-royal/22387775?view=Summary
10093117,Condo for sale,"$695,000",2335, Chemin Manella,"Lat:45.5032830000, Lon:-73.6622040000",3 bedrooms,2 bathrooms,,,2015,,"1,152 sqft",https://www.centris.ca/en/condos~for-sale~mont-royal/10093117?view=Summary
18056799,Condo for sale,"$349,000",1217, boulevard Graham,"Lat:45.5175970000, Lon:-73.6396300000",,1 bathroom,,,1941,,799 sqft,https://www.centris.ca/en/condos~for-sale~mont-royal/18056799?view=Summary
18677376,Condo for sale,"$879,000",2043, boulevard Graham,"Lat:45.5139269300, Lon:-73.6480790500",4 bedrooms (2 in basement),2 bathrooms,,,1956,,"1,399 sqft",https://www.centris.ca/en/condos~for-sale~mont-royal/18677376?view=Summary
19833366,Condo for sale,"$459,000",130, Chemin Bates,"Lat:45.5165690000, Lon:-73.6269770000",2 bedrooms,2 bathrooms,,,2019,,,https://www.centris.ca/en/condos~for-sale~mont-royal/19833366?view=Summary
