centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
,,,,,"Lat:45.4355587300, Lon:-73.8568700200",,,,,,,,https://www.centris.ca/en/houses~for-sale~beaconsfield/24815095?view=Summary&uc=1
24815095,House for sale,"$1,295,000",153, Evergreen Drive,"Lat:45.4355587300, Lon:-73.8568700200",4 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1957,"8,050 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/24815095?view=Summary&uc=1
17148356,House for sale,"$734,900",277, Avenue Grosvenor,"Lat:45.4357656600, Lon:-73.8668668000",5 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1975,"8,000 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/17148356?view=Summary&uc=1
13006873,House for sale,"$5,499,000",63, Cours Gables,"Lat:45.4256310000, Lon:-73.8555840000",5 bedrooms (1 in basement),4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",2015,"26,538 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/13006873?view=Summary&uc=1
24298433,House for sale,"$559,000",102, Croissant Michael,"Lat:45.4357260000, Lon:-73.8490590000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Attached",2006,,,https://www.centris.ca/en/houses~for-sale~beaconsfield/24298433?view=Summary&uc=1
11630028,Condominium house for sale,"$799,000",86, Beaurepaire Drive,"Lat:45.4339653100, Lon:-73.8458781100",3 bedrooms,2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,Attached,2018,,,https://www.centris.ca/en/condominium-houses~for-sale~beaconsfield/11630028?view=Summary&uc=1
27323410,House for sale,"$839,000",362, Avenue Balmoral,"Lat:45.4399310000, Lon:-73.8720890000",4 bedrooms (1 in basement),3 bathrooms,,"Two or more storey, Detached",1971,"8,772 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/27323410?view=Summary&uc=1
16210892,House for sale,"$1,125,000",89, Cours Gables,"Lat:45.4268931100, Lon:-73.8558640800",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1956,"10,000 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/16210892?view=Summary&uc=1
13800310,House for sale,"$1,940,000",128, John-Henry-Menzies Street,"Lat:45.4312990000, Lon:-73.8860440000",6 bedrooms (2 in basement),5 bathrooms and 1 powder room,5 bathrooms and 1 powder room,"Two or more storey, Detached",1995,"11,710 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/13800310?view=Summary&uc=1
17726275,House for sale,"$759,000",155, Shannon Park Street,"Lat:45.4309610000, Lon:-73.8700290000",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1964,"7,500 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/17726275?view=Summary&uc=1
10476505,House for sale,"$799,000",168, Croissant Woodside,"Lat:45.4349360000, Lon:-73.8602190000",6 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1964,,,https://www.centris.ca/en/houses~for-sale~beaconsfield/10476505?view=Summary&uc=1
11705010,House for sale,"$3,750,000",21, Cours East Gables,"Lat:45.4272931700, Lon:-73.8520301700",4 bedrooms,3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1971,"20,100 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/11705010?view=Summary&uc=1
12703205,House for sale,"$1,250,000",61, Claude Street,"Lat:45.4316540000, Lon:-73.8395420000",4 bedrooms (1 in basement),3 bathrooms,,"Bungalow, Detached",2013,"11,517 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/12703205?view=Summary&uc=1
22421293,House for sale,"$879,000",102, Devon Road,"Lat:45.4210251600, Lon:-73.8970211200",4 bedrooms,4 bathrooms,,"Split-level, Detached",1957,"10,682 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/22421293?view=Summary&uc=1
23279940,House for sale,"$609,000",173, Creswell Drive,"Lat:45.4436840000, Lon:-73.8468030000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1965,"7,000 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/23279940?view=Summary&uc=1
25507961,House for sale,"$3,188,000",64, Claude Street,"Lat:45.4312072900, Lon:-73.8399462900",6 bedrooms (2 in basement),5 bathrooms and 1 powder room,5 bathrooms and 1 powder room,"Two or more storey, Detached",2019,"22,699 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/25507961?view=Summary&uc=1
11699334,House for sale,"$799,900",102, Sussex Drive,"Lat:45.4303730000, Lon:-73.8593420000",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1963,"7,645 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/11699334?view=Summary&uc=1
21312263,Condominium house for sale,"$559,000",102Z, Croissant Michael,"Lat:45.4357260000, Lon:-73.8490590000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,Attached,2006,,,https://www.centris.ca/en/condominium-houses~for-sale~beaconsfield/21312263?view=Summary&uc=1
11753295,House for sale,"$569,000",149, Franklin Road,"Lat:45.4363831500, Lon:-73.8373672200",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1973,"9,000 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/11753295?view=Summary&uc=1
13728057,House for sale,"$879,000",95, Charnwood Road,"Lat:45.4240834200, Lon:-73.8781616800",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Split-level, Detached",1963,"9,290 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/13728057?view=Summary&uc=1
12236028,House for sale,"$1,165,000",325, Henri-Jarry Street,"Lat:45.4332380000, Lon:-73.8827640000",5 bedrooms (2 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1987,"11,312 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/12236028?view=Summary&uc=1
9984797,House for sale,"$549,000",133, Avenue Jasper,"Lat:45.4362030000, Lon:-73.8348060000",4 bedrooms,1 bathroom,,"Bungalow, Detached",1965,"9,093 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/9984797?view=Summary&uc=1
27993070,House for sale,"$649,000",208, Hampshire Road,"Lat:45.4289032400, Lon:-73.8567322700",4 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Split-level, Detached",1959,"10,492 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/27993070?view=Summary&uc=1
24696993,House for sale,"$849,000",367, Avenue Balmoral,"Lat:45.4401860000, Lon:-73.8727960000",5 bedrooms (1 in basement),3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1973,"7,980 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/24696993?view=Summary&uc=1
10580506,House for sale,"$698,000",70, Devon Road,"Lat:45.4192407900, Lon:-73.8964873600",4 bedrooms,1 bathroom,,"Split-level, Detached",1955,"12,209 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/10580506?view=Summary&uc=1
21780021,House for sale,"$1,089,000",8, boulevard Saint-Charles,"Lat:45.4303310000, Lon:-73.8459330000",5 bedrooms (1 in basement),2 bathrooms and 2 powder rooms,2 bathrooms and 2 powder rooms,"Two or more storey, Detached",1964,"9,786 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/21780021?view=Summary&uc=1
16741145,House for sale,"$620,000",113, Avenue Biscayne,"Lat:45.4425310000, Lon:-73.8537550000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Split-level, Detached",1957,"8,000 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/16741145?view=Summary&uc=1
10200238,House for sale,"$628,900",131, Avenue Meadowbrook,"Lat:45.4278220000, Lon:-73.8724880000",4 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1981,"9,088 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/10200238?view=Summary&uc=1
21630632,House for sale,"$1,885,000",484, Basswood Road,"Lat:45.4245264800, Lon:-73.8840924900",6 bedrooms (1 in basement),5 bathrooms and 2 powder rooms,5 bathrooms and 2 powder rooms,"Two or more storey, Detached",2017,"11,693 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/21630632?view=Summary&uc=1
19441826,House for sale,"$1,695,000",19, Place Harrow,"Lat:45.4223060000, Lon:-73.8682860000",5 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1969,"14,876 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/19441826?view=Summary&uc=1
22805243,House for sale,"$775,000",111, Avenue Elm,"Lat:45.4349280000, Lon:-73.8497830000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Bungalow, Detached",1951,"7,928 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/22805243?view=Summary&uc=1
14834077,House for sale,"$1,995,000",421, Avenue des Crécerelles,"Lat:45.4349414000, Lon:-73.8867538000",5 bedrooms (1 in basement),5 bathrooms and 1 powder room,5 bathrooms and 1 powder room,"Two or more storey, Detached","2018, New","10,944 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/14834077?view=Summary&uc=1
16607575,House for sale,"$950,000",149, Croissant Chartwell,"Lat:45.4452900000, Lon:-73.8434940000",5 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1965,"8,798 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/16607575?view=Summary&uc=1
22344111,House for sale,"$879,000",354, Rue Berwick,"Lat:45.4450536000, Lon:-73.8510314200",4 bedrooms,3 bathrooms,,"Split-level, Detached",1966,"8,224 sqft",,https://www.centris.ca/en/houses~for-sale~beaconsfield/22344111?view=Summary&uc=1
