centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
,,,, Rue des Tulipes,"Lat:45.3708090000, Lon:-73.7358410000",5 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1960,"8,692 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/15344493?view=Summary&uc=1
13845712,House for sale,"$349,000",88, Rue de Lévis,"Lat:45.3660370000, Lon:-73.7619000000",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",2004,"4,500 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13845712?view=Summary&uc=1
15372185,House for sale,"$289,500",168, Rue Saint-Mary's,"Lat:45.3460080000, Lon:-73.7279310000",4 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1962,"5,495 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/15372185?view=Summary&uc=1
24605492,House for sale,"$299,000",101, Rue Taylor,"Lat:45.3739250000, Lon:-73.7645080000",2 bedrooms (1 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Detached",1959,"3,843 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/24605492?view=Summary&uc=1
16373766,House for sale,"$349,000",75, Rue Trudeau,"Lat:45.3759980000, Lon:-73.7416880000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Detached",1930,"4,801 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/16373766?view=Summary&uc=1
22239961,House for sale,"$349,000",84, Rue Jack Circle,"Lat:45.3543810000, Lon:-73.7263880000",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",1959,"7,815 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/22239961?view=Summary&uc=1
23043321,House for sale,"$370,000",95, Rue Laramée,"Lat:45.3549200000, Lon:-73.7061340000",4 bedrooms (2 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Detached",2009,"5,968 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/23043321?view=Summary&uc=1
14802361,House for sale,"$279,900",169, Rue Gendron,"Lat:45.3572757000, Lon:-73.7635188000",4 bedrooms (1 in basement),1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Two or more storey, Semi-detached",1961,"4,454 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/14802361?view=Summary&uc=1
21429380,House for sale,"$229,500",96, Rue de Lucerne,"Lat:45.3700730000, Lon:-73.7323110000",3 bedrooms,1 bathroom and 1 powder room,1 bathroom and 1 powder room,"Bungalow, Semi-detached",1961,"5,260 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/21429380?view=Summary&uc=1
18942853,House for sale,"$299,000",173, Rue Belmont,"Lat:45.3656727800, Lon:-73.7633201500",3 bedrooms (1 in basement),2 bathrooms,,"Bungalow, Detached",1965,"5,400 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/18942853?view=Summary&uc=1
27957720,House for sale,"$385,000",33, Rue Adam,"Lat:45.3540508700, Lon:-73.7217770700",4 bedrooms (2 in basement),2 bathrooms,,"Bungalow, Detached",2009,"5,400 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27957720?view=Summary&uc=1
18394298,House for sale,"$399,000",186, Rue Doyon,"Lat:45.3578900000, Lon:-73.7124650000",4 bedrooms (1 in basement),3 bathrooms,,"Bungalow, Detached",1979,"7,499 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/18394298?view=Summary&uc=1
13015477,House for sale,"$319,000",107, Rue Saint-Georges,"Lat:45.3454848600, Lon:-73.7260239200",3 bedrooms,1 bathroom,,"Bungalow, Detached",1965,"5,910 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/13015477?view=Summary&uc=1
27360181,House for sale,"$599,000",47, Rue Ashmore,"Lat:45.3724070000, Lon:-73.7448170000",5 bedrooms (2 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",2018,"5,000 sqft",,https://www.centris.ca/en/houses~for-sale~chateauguay/27360181?view=Summary&uc=1
