centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
,,,,,"Lat:45.4439850800, Lon:-73.7244099100",,,,,,,,https://www.centris.ca/en/houses~for-sale~dorval/24880722?view=Summary&uc=1
24880722,House for sale,"$794,900",233Z, Avenue De l'Académie,"Lat:45.4439850800, Lon:-73.7244099100",5 bedrooms (1 in basement),2 bathrooms,,"Two or more storey, Attached",2017,"2,430 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/24880722?view=Summary&uc=1
28214725,House for sale,"$600,000",331, boulevard Pine Beach,"Lat:45.4458150000, Lon:-73.7624040000",3 bedrooms,1 bathroom and 2 powder rooms,1 bathroom and 2 powder rooms,"Two or more storey, Detached",1950,"3,926 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/28214725?view=Summary&uc=1
17965494,House for sale,"$488,700",507, Avenue Saint-Léon,"Lat:45.4506385300, Lon:-73.7781794000",4 bedrooms (1 in basement),2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Two or more storey, Detached",1953,"5,592 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/17965494?view=Summary&uc=1
19546275,House for sale,"$499,000",13, Place Décary,"Lat:45.4386523300, Lon:-73.7361551300",3 bedrooms,1 bathroom,,"Bungalow, Detached",1953,"6,415 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/19546275?view=Summary&uc=1
26158276,House for sale,"$2,200,000",140, Avenue Tremont,"Lat:45.4420488300, Lon:-73.7234285800",4 bedrooms,3 bathrooms and 1 powder room,3 bathrooms and 1 powder room,"Two or more storey, Detached",1995,"8,497 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/26158276?view=Summary&uc=1
22225109,House for sale,"$1,650,000",70, Croissant Ashburton,"Lat:45.4391800000, Lon:-73.7493320000",6 bedrooms (2 in basement),4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",1981,"9,428 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/22225109?view=Summary&uc=1
9784035,House for sale,"$3,670,700",2, Avenue Saint-Charles,"Lat:45.4371020000, Lon:-73.7282760000",5 bedrooms,4 bathrooms and 1 powder room,4 bathrooms and 1 powder room,"Two or more storey, Detached",2016,"20,682 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/9784035?view=Summary&uc=1
16451018,House for sale,"$679,000",410, Avenue Roy,"Lat:45.4464210000, Lon:-73.7488440000",3 bedrooms,2 bathrooms and 1 powder room,2 bathrooms and 1 powder room,"Split-level, Detached",1957,"5,160 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/16451018?view=Summary&uc=1
20653236,House for sale,"$499,000",344, Avenue Touzin,"Lat:45.4461058100, Lon:-73.7701789300",3 bedrooms,2 bathrooms,,"Bungalow, Detached",1953,"5,525 sqft",,https://www.centris.ca/en/houses~for-sale~dorval/20653236?view=Summary&uc=1
