small region,bedroom,year,avg_price,total
montreal-lasalle,-1,10 less,470249.875,8
montreal-lasalle,-1,20 less,289000.0,1
montreal-lasalle,-1,30 less,235000.0,3
montreal-lasalle,-1,30 more,164999.5,2
montreal-lasalle,-1,5 less,287333.3333333333,6
montreal-lasalle,2,10 less,430098.28571428574,7
montreal-lasalle,2,20 less,371400.0,7
montreal-lasalle,2,30 less,284000.0,2
montreal-lasalle,2,30 more,378933.3333333333,3
montreal-lasalle,2,5 less,495415.625,16
montreal-lasalle,3,10 less,542000.0,3
montreal-lasalle,3,20 less,474000.0,2
montreal-lasalle,3,30 less,475966.6666666667,3
montreal-lasalle,3,30 more,479000.0,1
montreal-lasalle,3,5 less,544013.5,10
montreal-lasalle,4,5 less,689000.0,1
montreal-lasalle,5,5 less,684000.0,2
