small region,bedroom,year,avg_price,total
montreal-lasalle,2,30 more,477000.0,5
montreal-lasalle,2,5 less,569900.0,1
montreal-lasalle,3,30 less,1690000.0,1
montreal-lasalle,3,30 more,570304.1666666666,12
montreal-lasalle,3,5 less,659900.0,2
montreal-lasalle,4,10 less,699000.0,2
montreal-lasalle,4,30 more,717727.2727272727,11
montreal-lasalle,4,5 less,689000.0,1
montreal-lasalle,5,10 less,699000.0,2
montreal-lasalle,5,30 more,939000.0,1
montreal-lasalle,5,5 less,687181.8181818182,11
montreal-lasalle,6,10 less,780000.0,1
montreal-lasalle,6,30 more,1039000.0,2
montreal-lasalle,6,5 less,739000.0,1
montreal-lasalle,8,30 more,499000.0,1
