small region,bedroom,year,avg_price,total
montreal-lachine,-1,10 less,283580.0,5
montreal-lachine,-1,30 more,245060.0,5
montreal-lachine,-1,5 less,301400.0,9
montreal-lachine,2,10 less,409985.4285714286,7
montreal-lachine,2,20 less,309000.0,2
montreal-lachine,2,30 less,342000.0,2
montreal-lachine,2,30 more,354966.6666666667,6
montreal-lachine,2,5 less,404121.4285714286,28
montreal-lachine,3,10 less,483666.6666666667,3
montreal-lachine,3,20 less,548000.0,1
montreal-lachine,3,30 less,339000.0,1
montreal-lachine,3,5 less,537133.3333333334,9
montreal-lachine,4,30 less,348000.0,1
montreal-lachine,4,5 less,799000.0,1
