small region,bedroom,year,avg_price,total
saint-lambert-monteregie,-1,30 more,218614.2857142857,7
saint-lambert-monteregie,-1,5 less,267666.6666666667,3
saint-lambert-monteregie,2,10 less,484700.0,7
saint-lambert-monteregie,2,20 less,452000.0,2
saint-lambert-monteregie,2,30 less,374000.0,2
saint-lambert-monteregie,2,30 more,277240.0,15
saint-lambert-monteregie,2,5 less,534250.0,4
saint-lambert-monteregie,3,20 less,439000.0,1
saint-lambert-monteregie,3,30 less,385000.0,1
saint-lambert-monteregie,3,30 more,544612.5,8
saint-lambert-monteregie,3,5 less,922000.0,2
saint-lambert-monteregie,4,20 less,719000.0,2
saint-lambert-monteregie,4,30 more,299000.0,2
