small region,bedroom,year,avg_price,total
beaconsfield,3,30 more,742750.0,6
beaconsfield,3,5 less,569000.0,1
beaconsfield,4,10 less,1895000.0,1
beaconsfield,4,30 less,1288000.0,1
beaconsfield,4,30 more,1128191.8918918918,37
beaconsfield,5,10 less,3895000.0,1
beaconsfield,5,30 more,1044854.5454545454,22
beaconsfield,5,5 less,2570800.0,5
beaconsfield,6,20 less,3669500.0,2
beaconsfield,6,30 less,1940000.0,1
beaconsfield,6,30 more,1168950.0,2
beaconsfield,6,5 less,2581333.3333333335,3
beaconsfield,7,30 more,1100000.0,1
