small region,bedroom,year,avg_price,total
chateauguay,2,30 more,331800.0,7
chateauguay,3,10 less,352266.6666666667,3
chateauguay,3,20 less,289000.0,1
chateauguay,3,30 more,324804.347826087,23
chateauguay,4,10 less,565966.6666666666,3
chateauguay,4,20 less,386127.85714285716,7
chateauguay,4,30 less,429000.0,1
chateauguay,4,30 more,355045.45454545453,22
chateauguay,4,5 less,435500.0,1
chateauguay,5,20 less,475000.0,1
chateauguay,5,30 less,399000.0,1
chateauguay,5,30 more,518633.3333333333,6
chateauguay,5,5 less,599000.0,1
chateauguay,6,10 less,1295000.0,1
chateauguay,6,30 more,310000.0,1
chateauguay,7,10 less,1899000.0,1
chateauguay,7,30 more,289900.0,1
