small region,bedroom,year,avg_price,total
saint-lambert-monteregie,2,30 more,599000.0,1
saint-lambert-monteregie,3,20 less,659000.0,2
saint-lambert-monteregie,3,30 less,1104333.3333333333,3
saint-lambert-monteregie,3,30 more,1112000.0,4
saint-lambert-monteregie,3,5 less,895000.0,2
saint-lambert-monteregie,4,20 less,629000.0,2
saint-lambert-monteregie,4,30 more,910809.0909090909,11
saint-lambert-monteregie,4,5 less,1989000.0,1
saint-lambert-monteregie,5,30 more,940214.2857142857,7
saint-lambert-monteregie,6,30 more,1075000.0,1
saint-lambert-monteregie,8,30 more,1375000.0,1
saint-lambert-monteregie,9,30 more,1022000.0,1
