small region,bedroom,year,avg_price,total
 Agglomération de Montréal,-1,5 less,558000.0,1
 Agglomération de Montréal,2,30 more,440438.5,2
 Agglomération de Montréal,2,5 less,450000.0,1
 Agglomération de Montréal,3,10 less,489800.0,1
 Agglomération de Montréal,3,30 more,498000.0,4
 Ahuntsic,2,30 more,398000.0,1
 Ahuntsic,5,30 more,779000.0,1
 Ahuntsic-Cartierville,4,30 more,549700.0,1
 Anjou,2,30 less,244900.0,1
 Anjou,2,30 more,269000.0,1
 Arrondissement de Lachine,-1,30 more,240536.0,1
 Arrondissement de Lachine,3,30 more,499000.0,1
 Arrondissement de Lachine,4,5 less,799000.0,1
 Avenue De Lorimier,4,30 more,870000.0,1
 Bassins du Nouveau Havre,-1,5 less,398000.0,2
 Bassins du Nouveau Havre,2,10 less,668000.0,1
 Bassins du Nouveau Havre,2,30 more,770600.0,3
 Bassins du Nouveau Havre,2,5 less,624450.0,2
 Bassins du Nouveau Havre,3,30 more,838000.0,1
 Beaconsfield,-1,30 more,283740.0,2
 Beaconsfield,2,30 more,465964.0,5
 Beaconsfield,3,30 more,723150.0,1
 Bellerive,-1,10 less,205000.0,1
 Bellerive,2,10 less,279000.0,1
 Bois-Francs,2,10 less,508900.0,2
 Bois-Francs,2,20 less,504000.0,2
 Bois-Francs,3,20 less,673000.0,1
 Carré Lucerne,2,10 less,629000.0,2
 Cartierville,-1,30 more,219000.0,1
 Cartierville,2,30 more,164000.0,1
 Cartierville,3,30 less,365000.0,1
 Cartierville,3,30 more,319000.0,1
 Cecil-P.-Newman,2,20 less,329000.0,1
 Cecil-P.-Newman,3,30 less,479900.0,1
 Centre-Nord,2,10 less,223700.0,2
 Centre-Nord,2,30 more,357633.3333333333,3
 Centre-Nord,3,30 more,349000.0,1
 Chameran,-1,10 less,239900.0,1
 Chameran,-1,5 less,265000.0,1
 Chameran,2,10 less,349633.3333333333,3
 Chameran,2,30 less,279000.0,1
 Chameran,2,30 more,264000.0,2
 Chameran,3,30 less,398000.0,1
 Chameran/Montpellier,-1,20 less,249000.0,1
 Chameran/Montpellier,2,10 less,384500.0,2
 Chameran/Montpellier,2,20 less,324000.0,1
 Chameran/Montpellier,2,30 less,767000.0,1
 Chameran/Montpellier,2,30 more,334900.0,1
 Chameran/Montpellier,3,30 less,757666.6666666666,3
 Chameran/Montpellier,3,30 more,399000.0,1
 Crémazie,2,10 less,349900.0,1
 Crémazie,2,30 more,375000.0,1
 Côte-Saint-Antoine,-1,10 less,579000.0,1
 Côte-Saint-Antoine,-1,30 more,415000.0,1
 Côte-Saint-Antoine,2,20 less,410000.0,1
 Côte-Saint-Antoine,2,30 more,1450000.0,1
 Côte-Saint-Antoine,3,30 more,728609.7142857143,7
 Côte-Saint-Luc,-1,20 less,410000.0,1
 Côte-Saint-Luc,2,20 less,550000.0,1
 Côte-Saint-Luc,2,30 more,430666.6666666667,3
 Côte-Saint-Luc,3,30 more,564200.0,5
 Côte-Saint-Luc,4,30 more,572500.0,2
 Côte-Saint-Luc,5,5 less,749000.0,1
 Côte-Saint-Paul,2,20 less,369000.0,1
 Côte-Saint-Paul,2,30 more,364900.0,1
 Côte-Saint-Paul,2,5 less,335000.0,1
 Côte-des-Neiges–Notre-Dame-de-Grâce,-1,30 more,339000.0,1
 Côte-des-Neiges–Notre-Dame-de-Grâce,2,30 more,384000.0,2
 Côte-des-Neiges–Notre-Dame-de-Grâce,3,10 less,797000.0,1
 Desmarchais-Crawford,2,30 more,429000.0,1
 Desmarchais-Crawford,3,20 less,424900.0,1
 Desmarchais-Crawford,3,30 more,599000.0,1
 Dollard-Des-Ormeaux,2,10 less,499000.0,1
 Dollard-Des-Ormeaux,2,30 more,493868.8,5
