small region,bedroom,year,avg_price,total
 Agglomération de Montréal,3,20 less,889000.0,1
 Agglomération de Montréal,3,30 less,749000.0,1
 Agglomération de Montréal,3,30 more,737666.6666666666,3
 Agglomération de Montréal,4,30 more,846561.125,16
 Agglomération de Montréal,5,30 less,1396333.3333333333,3
 Agglomération de Montréal,5,30 more,1613626.3157894737,19
 Agglomération de Montréal,5,5 less,1675000.0,1
 Agglomération de Montréal,6,10 less,1150000.0,1
 Agglomération de Montréal,6,30 more,1288000.0,2
 Agglomération de Montréal,6,5 less,3500000.0,1
 Agglomération de Montréal,7,30 less,2999998.0,1
 Agglomération de Montréal,7,30 more,3737500.0,2
 Agglomération de Montréal,8,30 more,4500000.0,1
 Ahuntsic,2,30 more,512000.0,2
 Ahuntsic,3,30 more,1252000.0,2
 Ahuntsic,4,30 more,1109633.3333333333,3
 André-Grasset,4,30 more,639000.0,1
 Anjou,3,20 less,839000.0,1
 Anjou,3,30 less,429000.0,2
 Anjou,3,30 more,539250.0,4
 Anjou,4,30 more,694329.3333333334,3
 Anjou,5,30 more,545000.0,1
 Arrondissement de Lachine,2,30 more,269900.0,1
 Arrondissement de Lachine,3,30 more,798000.0,1
 Arrondissement de Lachine,4,30 more,749000.0,1
 Arrondissement de Lachine,4,5 less,779000.0,3
 Arrondissement de Lachine,7,30 more,2399000.0,1
 Baie-D'Urfé,3,30 more,774000.0,2
 Baie-D'Urfé,4,30 more,782000.0,2
 Baie-D'Urfé,4,5 less,1895000.0,1
 Baie-D'Urfé,5,30 more,1691666.6666666667,3
 Baie-D'Urfé,5,5 less,1250000.0,1
 Baie-D'Urfé,6,30 more,1275000.0,1
 Baie-D'Urfé,7,30 more,834900.0,1
 Beaconsfield,3,30 less,650000.0,1
 Beaconsfield,3,30 more,691985.7142857143,7
 Beaconsfield,4,30 more,1164216.6666666667,18
 Beaconsfield,5,20 less,4880000.0,1
 Beaconsfield,5,30 more,1216000.0,7
 Beaconsfield,5,5 less,3837000.0,2
 Beaconsfield,6,30 more,875000.0,1
 Beaconsfield,6,5 less,2359000.0,1
 Bellerive,2,20 less,399000.0,1
 Bellerive,3,30 more,476000.0,3
 Bellerive,4,30 more,612000.0,2
 Bois-Francs,2,20 less,599000.0,1
 Bois-Francs,2,30 less,579000.0,1
 Bois-Francs,3,20 less,815666.6666666666,3
 Bois-Francs,3,30 less,796500.0,2
 Bois-Francs,3,30 more,625225.0,4
 Bois-Francs,4,10 less,889000.0,1
 Bois-Francs,4,20 less,1261800.0,6
 Bois-Francs,4,30 more,639000.0,2
 Bois-Francs,5,20 less,7777777.0,1
 Bois-Francs,6,20 less,2243000.0,2
 Bois-Francs,7,10 less,2798000.0,1
 Bois-Francs,7,20 less,3274000.0,2
 Cartierville,3,30 more,572333.3333333334,3
 Cartierville,4,30 more,925150.0,6
 Cartierville,5,30 more,1009500.0,2
 Cartierville,6,30 more,595000.0,1
 Cartierville,7,30 more,798500.0,1
 Cecil-P.-Newman,3,30 less,559000.0,1
 Cecil-P.-Newman,3,30 more,749900.0,1
 Cecil-P.-Newman,4,30 more,579000.0,2
 Centre-Nord,2,30 less,315000.0,1
 Centre-Nord,3,30 more,481225.0,4
 Centre-Nord,4,30 more,675000.0,1
 Centre-Nord,5,30 more,475000.0,1
 Chameran,2,30 more,348888.0,1
 Chameran,3,30 less,539900.0,1
 Chameran,3,30 more,895000.0,1
 Chameran,3,5 less,699000.0,1
 Chameran,4,30 more,665571.4285714285,7
 Chameran,5,30 more,744000.0,2
 Chameran,6,30 more,779000.0,1
 Chameran/Montpellier,6,20 less,995000.0,1
 Côte-Saint-Antoine,3,30 more,1790000.0,1
 Côte-Saint-Antoine,4,30 more,1356500.0,4
 Côte-Saint-Antoine,5,20 less,4298000.0,1
 Côte-Saint-Antoine,5,30 more,1220750.0,4
 Côte-Saint-Luc,2,30 more,399900.0,1
 Côte-Saint-Luc,3,30 more,591700.0,4
 Côte-Saint-Luc,3,5 less,899000.0,1
 Côte-Saint-Luc,4,30 more,992571.4285714285,7
 Côte-Saint-Luc,4,5 less,928000.0,1
 Côte-Saint-Luc,5,30 more,911250.0,4
 Côte-Saint-Luc,5,5 less,749000.0,1
 Côte-Saint-Luc,6,30 more,1894000.0,2
 Côte-Saint-Luc,7,30 more,1958000.0,1
 Côte-Saint-Paul,4,30 more,675000.0,1
 Côte-des-Neiges–Notre-Dame-de-Grâce,3,30 more,794500.0,2
 Côte-des-Neiges–Notre-Dame-de-Grâce,4,30 more,1316750.0,4
 Côte-des-Neiges–Notre-Dame-de-Grâce,5,30 more,1595000.0,1
 Desmarchais-Crawford,3,30 more,707677.3333333334,3
 Desmarchais-Crawford,4,30 more,835000.0,2
 Dollard-Des-Ormeaux,3,30 more,429280.0,10
 Dollard-Des-Ormeaux,4,20 less,574000.0,2
 Dollard-Des-Ormeaux,4,30 less,969000.0,1
 Dollard-Des-Ormeaux,4,30 more,534068.75,16
 Dollard-Des-Ormeaux,5,20 less,1125000.0,1
 Dollard-Des-Ormeaux,5,30 more,841400.0,5
 Dollard-Des-Ormeaux,6,20 less,1749000.0,1
 Dollard-Des-Ormeaux,6,30 less,1825000.0,2
 Dollard-Des-Ormeaux,6,30 more,859500.0,2
 Dollard-Des-Ormeaux,7,30 less,1480000.0,1
 Dollard-Des-Ormeaux,8,20 less,1816000.0,1
 Dorval,3,30 more,552000.0,2
 Dorval,4,10 less,625000.0,1
 Dorval,4,30 less,1235000.0,1
 Dorval,4,30 more,1492479.7777777778,9
 Dorval,5,20 less,799000.0,1
 Dorval,5,30 more,793000.0,2
 Dorval,6,30 less,7896000.0,1
 Dorval,6,30 more,465000.0,1
 Dorval,7,30 more,1050000.0,1
 Du Collège/Hodge,3,30 more,673500.0,2
 Du Collège/Hodge,4,30 more,878000.0,1
 Du Collège/Hodge,5,30 more,1049666.6666666667,3
 Dupéré,3,10 less,409000.0,2
 Dupéré,3,30 more,349000.0,1
 Dupéré,4,10 less,535000.0,1
 Dutrisac,3,30 more,524000.0,2
 Dutrisac,4,30 more,611500.0,2
 François-Perrault,3,30 more,624900.0,1
 Grande-Prairie,3,30 more,499000.0,1
 Grande-Prairie,4,30 less,939000.0,1
 Grande-Prairie,4,30 more,1794500.0,2
 Grenet,2,30 more,389000.0,1
 Grenet,4,10 less,839000.0,1
 Hampstead,4,30 more,1436250.0,4
 Hampstead,5,30 more,1545500.0,6
 Hampstead,6,30 more,2144000.0,2
 Jardin Communautaire B.P. Tétreaultville,3,30 more,365000.0,1
 Kirkland,2,30 more,368000.0,1
 Kirkland,3,30 less,729000.0,2
 Kirkland,3,30 more,649580.0,5
 Kirkland,4,20 less,749999.0,1
 Kirkland,4,30 less,1247833.3333333333,3
 Kirkland,4,30 more,692483.3333333334,6
 Kirkland,4,5 less,1149000.0,1
 Kirkland,5,10 less,1288000.0,1
 Kirkland,5,20 less,1149000.0,2
 Kirkland,5,30 less,1422633.3333333333,3
 Kirkland,5,30 more,729300.0,3
 Kirkland,6,20 less,1294000.0,2
 Kirkland,6,30 less,1143500.0,2
 L'Île-Bizard–Sainte-Geneviève,-1,30 more,599000.0,1
 L'Île-Bizard–Sainte-Geneviève,2,30 more,525000.0,1
 L'Île-Bizard–Sainte-Geneviève,3,30 less,1748000.0,1
 L'Île-Bizard–Sainte-Geneviève,3,30 more,327500.0,2
 L'Île-Bizard–Sainte-Geneviève,4,20 less,689000.0,1
 L'Île-Bizard–Sainte-Geneviève,4,30 less,887500.0,2
 L'Île-Bizard–Sainte-Geneviève,4,30 more,732633.3333333334,3
 L'Île-Bizard–Sainte-Geneviève,4,5 less,1295000.0,1
 L'Île-Bizard–Sainte-Geneviève,5,10 less,1050000.0,1
 L'Île-Bizard–Sainte-Geneviève,5,20 less,937000.0,1
 L'Île-Bizard–Sainte-Geneviève,5,30 more,1254213.3333333333,3
 L'Île-Dorval,2,30 more,229000.0,1
 L'Île-Dorval,3,30 more,550000.0,1
 LaSalle,3,30 less,1690000.0,1
 LaSalle,3,30 more,999000.0,1
 LaSalle,4,30 more,749000.0,1
 LaSalle,5,10 less,699000.0,1
 LaSalle,5,30 more,680750.0,4
 LaSalle,6,5 less,739000.0,1
 Lachine-Ouest,3,30 more,683666.6666666666,3
 Lachine-Ouest,4,20 less,629000.0,2
 Lachine-Ouest,4,30 more,914500.0,2
 Lachine-Ouest,5,30 more,1895000.0,1
 Le Sud-Ouest,3,30 more,485000.0,1
 Le Sud-Ouest,3,5 less,685000.0,1
 Longue-Pointe,2,30 more,299000.0,1
 Lorimier,3,30 more,1080000.0,1
 Louis-Hébert,4,30 more,1436000.0,1
 Louis-Riel,3,30 less,765000.0,1
 Louis-Riel,4,30 more,749700.0,1
 Loyola,3,30 more,855000.0,1
 Loyola,4,30 more,1249333.3333333333,3
 Loyola,5,30 less,1479000.0,1
 Marc-Aurèle-Fortin,2,30 more,289900.0,1
 Marc-Aurèle-Fortin,3,20 less,584900.0,1
 Marc-Aurèle-Fortin,3,30 less,444900.0,2
 Marc-Aurèle-Fortin,3,30 more,434813.3333333333,15
 Marc-Aurèle-Fortin,4,20 less,569000.0,1
 Marc-Aurèle-Fortin,4,30 more,612333.3333333334,3
 Marc-Aurèle-Fortin,5,30 less,698000.0,1
 Marc-Aurèle-Fortin,5,30 more,789000.0,1
 Marc-Aurèle-Fortin,7,30 more,789000.0,1
 Marc-Aurèle-Fortin,8,30 more,399000.0,1
 Marie-Victorin,3,30 more,795000.0,1
 Marie-Victorin,4,30 more,818166.6666666666,6
 Marie-Victorin,5,5 less,1195000.0,1
 Mile End,2,30 more,899900.0,2
 Mont-Royal,3,30 more,1367166.6666666667,6
 Mont-Royal,4,30 more,1852237.375,8
 Mont-Royal,5,30 more,2220200.0,5
 Mont-Royal,6,30 more,2450000.0,2
 Mont-Royal,8,30 more,3500000.0,1
 Montagne,3,30 more,1823333.3333333333,3
 Montagne,4,20 less,2199000.0,1
 Montagne,4,30 more,1962500.0,2
 Montagne,5,20 less,3498000.0,1
 Montagne,5,30 more,3637400.0,5
 Montagne,6,30 more,2327500.0,2
 Montagne,7,30 more,2095000.0,1
 Montagne,10,30 more,5225000.0,2
 Montreal-Nord-Centre,3,30 more,449000.0,1
 Montreal-Nord-Ouest,3,30 less,419000.0,1
 Montreal-Nord-Ouest,3,30 more,477365.8,5
 Montreal-Nord-Ouest,3,5 less,399000.0,1
 Montreal-Nord-Ouest,4,30 more,405566.6666666667,3
 Montréal,2,30 more,549000.0,2
 Montréal,2,5 less,828000.0,1
 Montréal,3,10 less,365000.0,1
 Montréal,3,20 less,629000.0,4
 Montréal,3,30 less,469000.0,1
