small region,bedroom,year,avg_price,total
chateauguay,2,10 less,429000.0,1
chateauguay,2,20 less,295000.0,1
chateauguay,2,30 more,232633.33333333334,3
chateauguay,3,10 less,317500.0,2
chateauguay,3,20 less,376875.0,4
chateauguay,3,30 less,664500.0,2
chateauguay,3,30 more,308860.26086956525,23
chateauguay,3,5 less,490156.0,2
chateauguay,4,10 less,509633.3333333333,3
chateauguay,4,20 less,465250.0,2
chateauguay,4,30 less,449450.0,2
chateauguay,4,30 more,397027.2727272727,11
chateauguay,5,10 less,439000.0,1
chateauguay,5,20 less,512633.3333333333,3
chateauguay,5,30 less,798000.0,1
chateauguay,5,30 more,268316.6666666667,6
chateauguay,5,5 less,489000.0,1
chateauguay,6,10 less,1092000.0,2
chateauguay,6,30 more,314450.0,2
chateauguay,7,10 less,1849000.0,1
